Code	Description
451612	Travel Consultant
451700	Travel Attendants
451711	Flight Attendant
451799	Travel Attendants nec
451800	Other Personal Service Workers
451811	Civil Celebrant
451812	Hair or Beauty Salon Assistant
451813	Sex Worker or Escort
451814	Body Artist
451899	Personal Service Workers nec
452000	Sports and Fitness Workers
452100	Fitness Instructors
452111	Fitness Instructor
452200	Outdoor Adventure Guides
452211	Bungy Jump Master
452212	Fishing Guide
452213	Hunting Guide
452214	Mountain or Glacier Guide
452215	Outdoor Adventure Instructor
452216	Trekking Guide
452217	Whitewater Rafting Guide
452299	Outdoor Adventure Guides nec
452300	Sports Coaches, Instructors and Officials
452311	Diving Instructor (Open Water)
452312	Gymnastics Coach or Instructor
452313	Horse Riding Coach or Instructor
452314	Snowsport Instructor
452315	Swimming Coach or Instructor
452316	Tennis Coach
452317	Other Sports Coach or Instructor
452318	Dog or Horse Racing Official
452321	Sports Development Officer
452322	Sports Umpire
452323	Other Sports Official
452400	Sportspersons
452411	Footballer
452412	Golfer
452413	Jockey
452414	Lifeguard
452499	Sportspersons nec
500000	CLERICAL AND ADMINISTRATIVE WORKERS
510000	Office Managers and Program Administrators
511000	Contract, Program and Project Administrators
511100	Contract, Program and Project Administrators
511111	Contract Administrator
511112	Program or Project Administrator
512000	Office and Practice Managers
512100	Office Managers
512111	Office Manager
512200	Practice Managers
512211	Health Practice Manager
512299	Practice Managers nec
520000	Personal Assistants and Secretaries
521000	Personal Assistants and Secretaries
521100	Personal Assistants
521111	Personal Assistant
521200	Secretaries
521211	Secretary (General)
521212	Legal Secretary
530000	General Clerical Workers
531000	General Clerks
531100	General Clerks
531111	General Clerk
532000	Keyboard Operators
532100	Keyboard Operators
532111	Data Entry Operator
532112	Machine Shorthand Reporter
532113	Word Processing Operator
540000	Inquiry Clerks and Receptionists
541000	Call or Contact Centre Information Clerks
541100	Call or Contact Centre Workers
541111	Call or Contact Centre Team Leader
541112	Call or Contact Centre Operator
541200	Inquiry Clerks
541211	Inquiry Clerk
542000	Receptionists
542100	Receptionists
542111	Receptionist (General)
542112	Admissions Clerk
542113	Hotel or Motel Receptionist
542114	Medical Receptionist
550000	Numerical Clerks
551000	Accounting Clerks and Bookkeepers
551100	Accounting Clerks
551111	Accounts Clerk
551112	Cost Clerk
551200	Bookkeepers
551211	Bookkeeper
551300	Payroll Clerks
551311	Payroll Clerk
552000	Financial and Insurance Clerks
552100	Bank Workers
552111	Bank Worker
552200	Credit and Loans Officers (Aus) / Finance Clerks (NZ)
552211	Credit and Loans Officers (Aus) / Finance Clerks (NZ)
552300	Insurance, Money Market and Statistical Clerks
552311	Bookmaker
552312	Insurance Consultant
552313	Money Market Clerk
552314	Statistical Clerk
560000	Clerical and Office Support Workers
561000	Clerical and Office Support Workers
561100	Betting Clerks
561111	Betting Agency Counter Clerk
561112	Bookmaker's Clerk
561113	Telephone Betting Clerk
561199	Betting Clerks nec
561200	Couriers and Postal Deliverers
561211	Courier
561212	Postal Delivery Officer
561300	Filing and Registry Clerks
561311	Filing or Registry Clerk
561400	Mail Sorters
561411	Mail Clerk
561412	Postal Sorting Officer
561500	Survey Interviewers
561511	Survey Interviewer
561600	Switchboard Operators
561611	Switchboard Operator
561900	Other Clerical and Office Support Workers
561911	Classified Advertising Clerk
561912	Meter Reader
561913	Parking Inspector
561999	Clerical and Office Support Workers nec
590000	Other Clerical and Administrative Workers
591000	Logistics Clerks
591100	Purchasing and Supply Logistics Clerks
591112	Production Clerk
591113	Purchasing Officer
591115	Stock Clerk
591116	Warehouse Administrator
591117	Order Clerk
591200	Transport and Despatch Clerks
591211	Despatching and Receiving Clerk
591212	Import-Export Clerk
599000	Miscellaneous Clerical and Administrative Workers
599100	Conveyancers and Legal Executives
599111	Conveyancer
599112	Legal Executive
599200	Court and Legal Clerks
599211	Clerk of Court
599212	Court Bailiff or Sheriff (Aus) / Court Collections Officer (NZ)
599213	Court Orderly (Aus) / Court Registry Officer (NZ)
599214	Law Clerk
599215	Trust Officer
599300	Debt Collectors
599311	Debt Collector
599400	Human Resource Clerks
599411	Human Resource Clerk
599500	Inspectors and Regulatory Officers
599511	Customs Officer
599512	Immigration Officer
599513	Motor Vehicle Licence Examiner
599514	Noxious Weeds and Pest Inspector
599515	Social Security Assessor
599516	Taxation Inspector
599517	Train Examiner
599518	Transport Operations Inspector
599521	Water Inspector
599599	Inspectors and Regulatory Officers nec
599600	Insurance Investigators, Loss Adjusters and Risk Surveyors
599611	Insurance Investigator
599612	Insurance Loss Adjuster
599613	Insurance Risk Surveyor
599700	Library Assistants
599711	Library Assistant
599900	Other Miscellaneous Clerical and Administrative Workers
599912	Production Assistant (Film, Television, Radio or Stage)
599913	Proof Reader
599914	Radio Despatcher
599915	Clinical Coder
599916	Facilities Administrator
599999	Clerical and Administrative Workers nec
600000	SALES WORKERS
610000	Sales Representatives and Agents
611000	Insurance Agents and Sales Representatives
611100	Auctioneers, and Stock and Station Agents
611111	Auctioneer
611112	Stock and Station Agent
611200	Insurance Agents
611211	Insurance Agent
611300	Sales Representatives
611311	Sales Representative (Building and Plumbing Supplies)
611312	Sales Representative (Business Services)
611313	Sales Representative (Motor Vehicle Parts and Accessories)
611314	Sales Representative (Personal and Household Goods)
611399	Sales Representatives nec
612000	Real Estate Sales Agents
612100	Real Estate Sales Agents
612111	Business Broker
612112	Property Manager
612113	Real Estate Agency Principal (Aus) / Real Estate Agency Licensee (NZ)
612114	Real Estate Agent
612115	Real Estate Representative
620000	Sales Assistants and Salespersons
621000	Sales Assistants and Salespersons
621100	Sales Assistants (General)
621111	Sales Assistant (General)
621200	ICT Sales Assistants
621211	ICT Sales Assistant
621300	Motor Vehicle and Vehicle Parts Salespersons
621311	Motor Vehicle or Caravan Salesperson
621312	Motor Vehicle Parts Interpreter (Aus) / Automotive Parts Salesperson (NZ)
621400	Pharmacy Sales Assistants
621411	Pharmacy Sales Assistant
621500	Retail Supervisors
621511	Retail Supervisor
621600	Service Station Attendants
621611	Service Station Attendant
621700	Street Vendors and Related Salespersons
621711	Cash Van Salesperson
621712	Door-to-door Salesperson
621713	Street Vendor
621900	Other Sales Assistants and Salespersons
621911	Materials Recycler
621912	Rental Salesperson
621999	Sales Assistants and Salespersons nec
630000	Sales Support Workers
631000	Checkout Operators and Office Cashiers
631100	Checkout Operators and Office Cashiers
631111	Checkout Operator
631112	Office Cashier
639000	Miscellaneous Sales Support Workers
639100	Models and Sales Demonstrators
639111	Model
639112	Sales Demonstrator
639200	Retail and Wool Buyers
639211	Retail Buyer
639212	Wool Buyer
639300	Telemarketers
639311	Telemarketer
639400	Ticket Salespersons
639411	Ticket Seller
639412	Transport Conductor
639500	Visual Merchandisers
639511	Visual Merchandiser
639900	Other Sales Support Workers
639911	Other Sales Support Worker
700000	MACHINERY OPERATORS AND DRIVERS
710000	Machine and Stationary Plant Operators
711000	Machine Operators
711100	Clay, Concrete, Glass and Stone Processing Machine Operators
711111	Clay Products Machine Operator
711112	Concrete Products Machine Operator
711113	Glass Production Machine Operator
711114	Stone Processing Machine Operator
711199	Clay, Concrete, Glass and Stone Processing Machine Operators nec
711200	Industrial Spraypainters
711211	Industrial Spraypainter
711300	Paper and Wood Processing Machine Operators
711311	Paper Products Machine Operator
711313	Sawmilling Operator
711314	Other Wood Processing Machine Operator
711400	Photographic Developers and Printers
711411	Photographic Developer and Printer
711500	Plastics and Rubber Production Machine Operators
711511	Plastic Cablemaking Machine Operator
711512	Plastic Compounding and Reclamation Machine Operator
711513	Plastics Fabricator or Welder
711514	Plastics Production Machine Operator (General)
711515	Reinforced Plastic and Composite Production Worker
711516	Rubber Production Machine Operator
711599	Plastics and Rubber Production Machine Operators nec
711600	Sewing Machinists
711611	Sewing Machinist
711700	Textile and Footwear Production Machine Operators
711711	Footwear Production Machine Operator
711712	Hide and Skin Processing Machine Operator
711713	Knitting Machine Operator
711714	Textile Dyeing and Finishing Machine Operator
711715	Weaving Machine Operator
711716	Yarn Carding and Spinning Machine Operator
711799	Textile and Footwear Production Machine Operators nec
711900	Other Machine Operators
711911	Chemical Production Machine Operator
711912	Motion Picture Projectionist
711913	Sand Blaster
711914	Sterilisation Technician
711999	Machine Operators nec
712000	Stationary Plant Operators
712100	Crane, Hoist and Lift Operators
712111	Crane, Hoist or Lift Operator
712200	Drillers, Miners and Shot Firers
712211	Driller
712212	Miner
712213	Shot Firer
712300	Engineering Production Workers
712311	Engineering Production Worker
712900	Other Stationary Plant Operators
712911	Boiler or Engine Operator
712912	Bulk Materials Handling Plant Operator
712913	Cement Production Plant Operator
712914	Concrete Batching Plant Operator
712915	Concrete Pump Operator
712916	Paper and Pulp Mill Operator
712917	Railway Signal Operator
712918	Train Controller
712921	Waste Water or Water Plant Operator
712922	Weighbridge Operator
712999	Stationary Plant Operators nec
720000	Mobile Plant Operators
721000	Mobile Plant Operators
721100	Agricultural, Forestry and Horticultural Plant Operators
721111	Agricultural and Horticultural Mobile Plant Operator
721112	Logging Plant Operator
721200	Earthmoving Plant Operators
721211	Earthmoving Plant Operator (General)
721212	Backhoe Operator
721213	Bulldozer Operator
721214	Excavator Operator
721215	Grader Operator
721216	Loader Operator
721300	Forklift Drivers
721311	Forklift Driver
721900	Other Mobile Plant Operators
721911	Aircraft Baggage Handler and Airline Ground Crew
721912	Linemarker
721913	Paving Plant Operator
721914	Railway Track Plant Operator
721915	Road Roller Operator
721916	Streetsweeper Operator
721999	Mobile Plant Operators nec
730000	Road and Rail Drivers
731000	Automobile, Bus and Rail Drivers
731100	Automobile Drivers
731111	Chauffeur
731112	Taxi Driver
731199	Automobile Drivers nec
731200	Bus and Coach Drivers
731211	Bus Driver
731212	Charter and Tour Bus Driver
731213	Passenger Coach Driver
731300	Train and Tram Drivers
731311	Train Driver
731312	Tram Driver
732000	Delivery Drivers
732100	Delivery Drivers
732111	Delivery Driver
733000	Truck Drivers
733100	Truck Drivers
733111	Truck Driver (General)
733112	Aircraft Refueller
733113	Furniture Removalist
733114	Tanker Driver
733115	Tow Truck Driver
740000	Storepersons
741000	Storepersons
741100	Storepersons
741111	Storeperson
800000	LABOURERS
810000	Cleaners and Laundry Workers
811000	Cleaners and Laundry Workers
811100	Car Detailers
811111	Car Detailer
811200	Commercial Cleaners
811211	Commercial Cleaner
811300	Domestic Cleaners
811311	Domestic Cleaner
811400	Housekeepers
811411	Commercial Housekeeper
811412	Domestic Housekeeper
811500	Laundry Workers
811511	Laundry Worker (General)
811512	Drycleaner
811513	Ironer or Presser
811600	Other Cleaners
811611	Carpet Cleaner
811612	Window Cleaner
811699	Cleaners nec
820000	Construction and Mining Labourers
821000	Construction and Mining Labourers
821100	Building and Plumbing Labourers
821111	Builder's Labourer
821112	Drainage, Sewerage and Stormwater Labourer
821113	Earthmoving Labourer
821114	Plumber's Assistant
821200	Concreters
821211	Concreter
821300	Fencers
821311	Fencer
821400	Insulation and Home Improvement Installers
821411	Building Insulation Installer
821412	Home Improvement Installer
821500	Paving and Surfacing Labourers
821511	Paving and Surfacing Labourer
821600	Railway Track Workers
821611	Railway Track Worker
821700	Structural Steel Construction Workers
821711	Construction Rigger
821712	Scaffolder
821713	Steel Fixer
821714	Structural Steel Erector
821900	Other Construction and Mining Labourers
821911	Crane Chaser
821912	Driller's Assistant
821913	Lagger
821914	Mining Support Worker
821915	Surveyor's Assistant
830000	Factory Process Workers
831000	Food Process Workers
831100	Food and Drink Factory Workers
831111	Baking Factory Worker
831112	Brewery Worker
831113	Confectionery Maker
831114	Dairy Products Maker
831115	Fruit and Vegetable Factory Worker
831116	Grain Mill Worker
831117	Sugar Mill Worker
831118	Winery Cellar Hand
831199	Food and Drink Factory Workers nec
831200	Meat Boners and Slicers, and Slaughterers
831211	Meat Boner and Slicer
831212	Slaughterer
831300	Meat, Poultry and Seafood Process Workers
831311	Meat Process Worker
831312	Poultry Process Worker
831313	Seafood Process Worker
832000	Packers and Product Assemblers
832100	Packers
832111	Chocolate Packer
832112	Container Filler
832113	Fruit and Vegetable Packer
832114	Meat Packer
832115	Seafood Packer
832199	Packers nec
832200	Product Assemblers
832211	Product Assembler
839000	Miscellaneous Factory Process Workers
839100	Metal Engineering Process Workers
839111	Metal Engineering Process Worker
839200	Plastics and Rubber Factory Workers
839211	Plastics Factory Worker
839212	Rubber Factory Worker
839300	Product Quality Controllers
839311	Product Examiner
839312	Product Grader
839313	Product Tester
839400	Timber and Wood Process Workers
839411	Paper and Pulp Mill Worker
839412	Sawmill or Timber Yard Worker
839413	Wood and Wood Products Factory Worker
839900	Other Factory Process Workers
839911	Cement and Concrete Plant Worker
839912	Chemical Plant Worker
839913	Clay Processing Factory Worker
839914	Fabric and Textile Factory Worker
839915	Footwear Factory Worker
839916	Glass Processing Worker
839917	Hide and Skin Processing Worker
839918	Recycling Worker
839999	Factory Process Workers nec
840000	Farm, Forestry and Garden Workers
841000	Farm, Forestry and Garden Workers
841100	Aquaculture Workers
841111	Aquaculture Worker
841200	Crop Farm Workers
841211	Fruit or Nut Farm Worker
841212	Fruit or Nut Picker
841213	Grain, Oilseed or Pasture Farm Worker (Aus) / Field Crop Farm Worker (NZ)
841214	Vegetable Farm Worker (Aus) / Market Garden Worker (NZ)
841215	Vegetable Picker
841216	Vineyard Worker
841217	Mushroom Picker
841299	Crop Farm Workers nec
841300	Forestry and Logging Workers
841311	Forestry Worker
841312	Logging Assistant
841313	Tree Faller
841400	Garden and Nursery Labourers
841411	Garden Labourer
841412	Horticultural Nursery Assistant
841500	Livestock Farm Workers
841511	Beef Cattle Farm Worker
841512	Dairy Cattle Farm Worker
841513	Mixed Livestock Farm Worker
841514	Poultry Farm Worker
841515	Sheep Farm Worker
841516	Stablehand
841517	Wool Handler
841599	Livestock Farm Workers nec
841600	Mixed Crop and Livestock Farm Workers
841611	Mixed Crop and Livestock Farm Worker
841900	Other Farm, Forestry and Garden Workers
841911	Hunter-Trapper
841913	Pest Controller
841999	Farm, Forestry and Garden Workers nec
850000	Food Preparation Assistants
851000	Food Preparation Assistants
851100	Fast Food Cooks
851111	Fast Food Cook
851200	Food Trades Assistants
851211	Pastrycook's Assistant
851299	Food Trades Assistants nec
851300	Kitchenhands
851311	Kitchenhand
890000	Other Labourers
891000	Freight Handlers and Shelf Fillers
891100	Freight and Furniture Handlers
891111	Freight Handler (Rail or Road)
891112	Truck Driver's Offsider
891113	Waterside Worker
891200	Shelf Fillers
891211	Shelf Filler
899000	Miscellaneous Labourers
899100	Caretakers
899111	Caretaker
899200	Deck and Fishing Hands
899211	Deck Hand
899212	Fishing Hand
899300	Handypersons
899311	Handyperson
899400	Motor Vehicle Parts and Accessories Fitters
899411	Motor Vehicle Parts and Accessories Fitter (General)
899412	Autoglazier
899413	Exhaust and Muffler Repairer
899414	Radiator Repairer
899415	Tyre Fitter
899500	Printing Assistants and Table Workers
899511	Printer's Assistant
899512	Printing Table Worker
899600	Recycling and Rubbish Collectors
899611	Recycling or Rubbish Collector
899700	Vending Machine Attendants
899711	Vending Machine Attendant
899900	Other Miscellaneous Labourers
899911	Bicycle Mechanic
899912	Car Park Attendant
899913	Crossing Supervisor
899914	Electrical or Telecommunications Trades Assistant
899915	Leaflet or Newspaper Deliverer
899916	Mechanic's Assistant
899917	Railways Assistant
899918	Sign Erector
899921	Ticket Collector or Usher
899922	Trolley Collector
899923	Road Traffic Controller
899999	Labourers nec
