Year,SA3_MAIN11,SA3_NAME11,Estimated_resident_population
2016,12101,Chatswood - Lane Cove,117824
1991,12102,Hornsby,65092
1992,12102,Hornsby,65648
1993,12102,Hornsby,66126
1994,12102,Hornsby,66415
1995,12102,Hornsby,67032
1996,12102,Hornsby,67669
1997,12102,Hornsby,68691
1998,12102,Hornsby,69455
1999,12102,Hornsby,70279
2000,12102,Hornsby,70722
2001,12102,Hornsby,71762
2002,12102,Hornsby,73304
2003,12102,Hornsby,74206
2004,12102,Hornsby,74615
2005,12102,Hornsby,74995
2006,12102,Hornsby,75250
2007,12102,Hornsby,76240
2008,12102,Hornsby,77520
2009,12102,Hornsby,78458
2010,12102,Hornsby,79289
2011,12102,Hornsby,79834
2012,12102,Hornsby,80352
2013,12102,Hornsby,80976
2014,12102,Hornsby,81706
2015,12102,Hornsby,82481
2016,12102,Hornsby,83456
1991,12103,Ku-ring-gai,106833
1992,12103,Ku-ring-gai,106779
1993,12103,Ku-ring-gai,106297
1994,12103,Ku-ring-gai,105784
1995,12103,Ku-ring-gai,105124
1996,12103,Ku-ring-gai,105008
1997,12103,Ku-ring-gai,105217
1998,12103,Ku-ring-gai,105287
1999,12103,Ku-ring-gai,105797
2000,12103,Ku-ring-gai,106485
2001,12103,Ku-ring-gai,107270
2002,12103,Ku-ring-gai,107090
2003,12103,Ku-ring-gai,106839
2004,12103,Ku-ring-gai,106142
2005,12103,Ku-ring-gai,105175
2006,12103,Ku-ring-gai,104749
2007,12103,Ku-ring-gai,105825
2008,12103,Ku-ring-gai,108225
2009,12103,Ku-ring-gai,110718
2010,12103,Ku-ring-gai,112941
2011,12103,Ku-ring-gai,114902
2012,12103,Ku-ring-gai,116786
2013,12103,Ku-ring-gai,118771
2014,12103,Ku-ring-gai,120606
2015,12103,Ku-ring-gai,122253
2016,12103,Ku-ring-gai,123474
1991,12104,North Sydney - Mosman,78160
1992,12104,North Sydney - Mosman,78643
1993,12104,North Sydney - Mosman,78747
1994,12104,North Sydney - Mosman,79948
1995,12104,North Sydney - Mosman,81391
1996,12104,North Sydney - Mosman,83037
1997,12104,North Sydney - Mosman,83618
1998,12104,North Sydney - Mosman,84004
1999,12104,North Sydney - Mosman,84654
2000,12104,North Sydney - Mosman,84964
2001,12104,North Sydney - Mosman,85804
2002,12104,North Sydney - Mosman,85894
2003,12104,North Sydney - Mosman,86260
2004,12104,North Sydney - Mosman,86842
2005,12104,North Sydney - Mosman,87234
2006,12104,North Sydney - Mosman,87906
2007,12104,North Sydney - Mosman,89049
2008,12104,North Sydney - Mosman,90512
2009,12104,North Sydney - Mosman,92241
2010,12104,North Sydney - Mosman,93552
2011,12104,North Sydney - Mosman,94633
2012,12104,North Sydney - Mosman,95638
2013,12104,North Sydney - Mosman,96735
2014,12104,North Sydney - Mosman,97982
2015,12104,North Sydney - Mosman,99154
2016,12104,North Sydney - Mosman,100152
1991,12201,Manly,36427
1992,12201,Manly,36542
1993,12201,Manly,36586
1994,12201,Manly,37012
1995,12201,Manly,37174
1996,12201,Manly,37468
1997,12201,Manly,37520
1998,12201,Manly,37578
1999,12201,Manly,37746
2000,12201,Manly,37774
2001,12201,Manly,38428
2002,12201,Manly,38532
2003,12201,Manly,38575
2004,12201,Manly,38646
2005,12201,Manly,38627
2006,12201,Manly,39026
2007,12201,Manly,39775
2008,12201,Manly,39852
2009,12201,Manly,40938
2010,12201,Manly,41899
2011,12201,Manly,42818
2012,12201,Manly,43245
2013,12201,Manly,43761
2014,12201,Manly,44143
2015,12201,Manly,44564
2016,12201,Manly,44994
1991,12202,Pittwater,53011
1992,12202,Pittwater,53311
1993,12202,Pittwater,53353
1994,12202,Pittwater,53664
1995,12202,Pittwater,53978
1996,12202,Pittwater,54506
1997,12202,Pittwater,55080
1998,12202,Pittwater,55436
1999,12202,Pittwater,55356
2000,12202,Pittwater,55572
2001,12202,Pittwater,56045
2002,12202,Pittwater,56077
2003,12202,Pittwater,55837
2004,12202,Pittwater,55610
2005,12202,Pittwater,55943
2006,12202,Pittwater,56252
2007,12202,Pittwater,56680
2008,12202,Pittwater,57137
2009,12202,Pittwater,58672
2010,12202,Pittwater,59577
2011,12202,Pittwater,60455
2012,12202,Pittwater,60957
2013,12202,Pittwater,61602
2014,12202,Pittwater,62160
2015,12202,Pittwater,62868
2016,12202,Pittwater,63504
1991,12203,Warringah,129784
1992,12203,Warringah,129429
1993,12203,Warringah,128718
1994,12203,Warringah,128695
1995,12203,Warringah,129020
1996,12203,Warringah,130093
1997,12203,Warringah,130687
1998,12203,Warringah,131348
1999,12203,Warringah,132445
2000,12203,Warringah,133963
2001,12203,Warringah,135343
2002,12203,Warringah,135561
2003,12203,Warringah,135796
2004,12203,Warringah,136182
2005,12203,Warringah,137171
2006,12203,Warringah,138322
2007,12203,Warringah,140629
2008,12203,Warringah,142853
2009,12203,Warringah,144890
2010,12203,Warringah,146774
2011,12203,Warringah,148423
2012,12203,Warringah,150183
2013,12203,Warringah,152093
2014,12203,Warringah,154118
2015,12203,Warringah,156071
2016,12203,Warringah,157846
1991,12301,Camden,17937
1992,12301,Camden,19552
1993,12301,Camden,20954
1994,12301,Camden,22738
1995,12301,Camden,25237
1996,12301,Camden,27069
1997,12301,Camden,29233
1998,12301,Camden,31826
1999,12301,Camden,34509
2000,12301,Camden,36917
2001,12301,Camden,39523
2002,12301,Camden,41410
2003,12301,Camden,42703
2004,12301,Camden,43390
2005,12301,Camden,44621
2006,12301,Camden,45397
2007,12301,Camden,47163
2008,12301,Camden,48910
2009,12301,Camden,50710
2010,12301,Camden,52239
2011,12301,Camden,53784
2012,12301,Camden,55293
2013,12301,Camden,56976
2014,12301,Camden,59337
2015,12301,Camden,61904
2016,12301,Camden,64212
1991,12302,Campbelltown (NSW),143773
1992,12302,Campbelltown (NSW),145558
1993,12302,Campbelltown (NSW),146485
1994,12302,Campbelltown (NSW),147066
1995,12302,Campbelltown (NSW),147651
1996,12302,Campbelltown (NSW),148586
1997,12302,Campbelltown (NSW),148908
1998,12302,Campbelltown (NSW),149036
1999,12302,Campbelltown (NSW),149393
2000,12302,Campbelltown (NSW),149772
2001,12302,Campbelltown (NSW),150579
2002,12302,Campbelltown (NSW),150382
2003,12302,Campbelltown (NSW),149845
2004,12302,Campbelltown (NSW),148810
2005,12302,Campbelltown (NSW),148378
2006,12302,Campbelltown (NSW),147738
2007,12302,Campbelltown (NSW),148539
2008,12302,Campbelltown (NSW),149652
2009,12302,Campbelltown (NSW),151281
2010,12302,Campbelltown (NSW),151752
2011,12302,Campbelltown (NSW),152421
2012,12302,Campbelltown (NSW),153723
2013,12302,Campbelltown (NSW),155616
2014,12302,Campbelltown (NSW),157635
2015,12302,Campbelltown (NSW),159973
2016,12302,Campbelltown (NSW),162845
1991,12303,Wollondilly,26665
1992,12303,Wollondilly,27310
1993,12303,Wollondilly,27898
1994,12303,Wollondilly,28546
1995,12303,Wollondilly,29182
1996,12303,Wollondilly,29861
1997,12303,Wollondilly,30299
1998,12303,Wollondilly,31025
1999,12303,Wollondilly,31589
2000,12303,Wollondilly,32352
2001,12303,Wollondilly,33097
2002,12303,Wollondilly,33429
2003,12303,Wollondilly,33973
2004,12303,Wollondilly,34365
2005,12303,Wollondilly,34702
2006,12303,Wollondilly,35080
2007,12303,Wollondilly,35463
2008,12303,Wollondilly,36018
2009,12303,Wollondilly,36563
2010,12303,Wollondilly,36997
2011,12303,Wollondilly,37546
2012,12303,Wollondilly,38298
2013,12303,Wollondilly,39077
2014,12303,Wollondilly,39987
2015,12303,Wollondilly,41020
2016,12303,Wollondilly,42215
1991,12401,Blue Mountains,72652
1992,12401,Blue Mountains,73050
1993,12401,Blue Mountains,73220
1994,12401,Blue Mountains,73462
1995,12401,Blue Mountains,73661
1996,12401,Blue Mountains,74135
1997,12401,Blue Mountains,74610
1998,12401,Blue Mountains,74978
1999,12401,Blue Mountains,75423
2000,12401,Blue Mountains,75759
2001,12401,Blue Mountains,76385
2002,12401,Blue Mountains,76713
2003,12401,Blue Mountains,76796
2004,12401,Blue Mountains,76262
2005,12401,Blue Mountains,75818
2006,12401,Blue Mountains,75446
2007,12401,Blue Mountains,75953
2008,12401,Blue Mountains,76990
2009,12401,Blue Mountains,77802
2010,12401,Blue Mountains,78025
2011,12401,Blue Mountains,78302
2012,12401,Blue Mountains,78308
2013,12401,Blue Mountains,78464
2014,12401,Blue Mountains,78627
2015,12401,Blue Mountains,78636
2016,12401,Blue Mountains,78496
1991,12402,Blue Mountains - South,7
1992,12402,Blue Mountains - South,7
1993,12402,Blue Mountains - South,7
1994,12402,Blue Mountains - South,7
1995,12402,Blue Mountains - South,7
1996,12402,Blue Mountains - South,7
1997,12402,Blue Mountains - South,7
1998,12402,Blue Mountains - South,7
1999,12402,Blue Mountains - South,7
2000,12402,Blue Mountains - South,7
2001,12402,Blue Mountains - South,7
2002,12402,Blue Mountains - South,7
2003,12402,Blue Mountains - South,7
2004,12402,Blue Mountains - South,7
2005,12402,Blue Mountains - South,7
2006,12402,Blue Mountains - South,7
2007,12402,Blue Mountains - South,7
2008,12402,Blue Mountains - South,7
2009,12402,Blue Mountains - South,7
2010,12402,Blue Mountains - South,7
2011,12402,Blue Mountains - South,7
2012,12402,Blue Mountains - South,6
2013,12402,Blue Mountains - South,6
2014,12402,Blue Mountains - South,5
2015,12402,Blue Mountains - South,5
2016,12402,Blue Mountains - South,4
1991,12403,Penrith,102113
1992,12403,Penrith,104804
1993,12403,Penrith,107417
1994,12403,Penrith,109273
1995,12403,Penrith,110851
1996,12403,Penrith,112232
1997,12403,Penrith,114378
1998,12403,Penrith,116222
1999,12403,Penrith,117628
2000,12403,Penrith,119664
2001,12403,Penrith,121946
2002,12403,Penrith,122677
2003,12403,Penrith,122691
2004,12403,Penrith,121990
2005,12403,Penrith,122274
2006,12403,Penrith,122550
2007,12403,Penrith,123460
2008,12403,Penrith,125372
2009,12403,Penrith,126803
2010,12403,Penrith,127621
2011,12403,Penrith,128837
2012,12403,Penrith,131287
2013,12403,Penrith,134107
2014,12403,Penrith,136912
2015,12403,Penrith,140325
2016,12403,Penrith,143490
1991,12404,Richmond - Windsor,30600
1992,12404,Richmond - Windsor,31741
1993,12404,Richmond - Windsor,32612
1994,12404,Richmond - Windsor,33008
1995,12404,Richmond - Windsor,33419
1996,12404,Richmond - Windsor,33961
1997,12404,Richmond - Windsor,34246
1998,12404,Richmond - Windsor,34387
1999,12404,Richmond - Windsor,34721
2000,12404,Richmond - Windsor,35265
2001,12404,Richmond - Windsor,35728
2002,12404,Richmond - Windsor,35750
2003,12404,Richmond - Windsor,35723
2004,12404,Richmond - Windsor,35564
2005,12404,Richmond - Windsor,35407
2006,12404,Richmond - Windsor,35366
2007,12404,Richmond - Windsor,35711
2008,12404,Richmond - Windsor,36249
2009,12404,Richmond - Windsor,36551
2010,12404,Richmond - Windsor,36782
2011,12404,Richmond - Windsor,36943
2012,12404,Richmond - Windsor,37055
2013,12404,Richmond - Windsor,37233
2014,12404,Richmond - Windsor,37334
2015,12404,Richmond - Windsor,37404
2016,12404,Richmond - Windsor,37469
1991,12405,St Marys,52549
1992,12405,St Marys,53497
1993,12405,St Marys,53553
1994,12405,St Marys,53520
1995,12405,St Marys,53450
1996,12405,St Marys,53592
1997,12405,St Marys,53444
1998,12405,St Marys,53155
1999,12405,St Marys,53008
2000,12405,St Marys,53014
2001,12405,St Marys,53077
2002,12405,St Marys,52781
2003,12405,St Marys,52527
2004,12405,St Marys,52126
2005,12405,St Marys,52130
2006,12405,St Marys,52007
2007,12405,St Marys,52443
2008,12405,St Marys,53032
2009,12405,St Marys,53545
2010,12405,St Marys,53664
2011,12405,St Marys,53908
2012,12405,St Marys,54167
2013,12405,St Marys,54522
2014,12405,St Marys,54814
2015,12405,St Marys,55138
2016,12405,St Marys,55427
1991,12501,Auburn,50313
1992,12501,Auburn,50708
1993,12501,Auburn,51041
1994,12501,Auburn,51689
1995,12501,Auburn,52656
1996,12501,Auburn,53595
1997,12501,Auburn,54384
1998,12501,Auburn,55264
1999,12501,Auburn,56308
2000,12501,Auburn,57288
2001,12501,Auburn,59010
2002,12501,Auburn,60741
2003,12501,Auburn,62093
2004,12501,Auburn,64014
2005,12501,Auburn,66615
2006,12501,Auburn,68518
2007,12501,Auburn,70951
2008,12501,Auburn,73338
2009,12501,Auburn,75638
2010,12501,Auburn,77366
2011,12501,Auburn,78502
2012,12501,Auburn,81111
2013,12501,Auburn,84287
2014,12501,Auburn,87040
2015,12501,Auburn,90239
2016,12501,Auburn,94077
1991,12502,Carlingford,55139
1992,12502,Carlingford,55120
1993,12502,Carlingford,55076
1994,12502,Carlingford,55313
1995,12502,Carlingford,55048
1996,12502,Carlingford,55173
1997,12502,Carlingford,55444
1998,12502,Carlingford,55716
1999,12502,Carlingford,56118
2000,12502,Carlingford,56563
2001,12502,Carlingford,57222
2002,12502,Carlingford,56890
2003,12502,Carlingford,56748
2004,12502,Carlingford,56958
2005,12502,Carlingford,57278
2006,12502,Carlingford,57289
2007,12502,Carlingford,58184
2008,12502,Carlingford,59156
2009,12502,Carlingford,60311
2010,12502,Carlingford,61218
2011,12502,Carlingford,62158
2012,12502,Carlingford,63281
2013,12502,Carlingford,64460
2014,12502,Carlingford,65755
2015,12502,Carlingford,67323
2016,12502,Carlingford,68864
1991,12503,Merrylands - Guildford,120903
1992,12503,Merrylands - Guildford,121151
1993,12503,Merrylands - Guildford,120987
1994,12503,Merrylands - Guildford,120850
1995,12503,Merrylands - Guildford,120826
1996,12503,Merrylands - Guildford,121189
1997,12503,Merrylands - Guildford,121252
1998,12503,Merrylands - Guildford,121509
1999,12503,Merrylands - Guildford,121714
2000,12503,Merrylands - Guildford,122896
2001,12503,Merrylands - Guildford,123819
2002,12503,Merrylands - Guildford,123442
2003,12503,Merrylands - Guildford,123416
2004,12503,Merrylands - Guildford,123785
2005,12503,Merrylands - Guildford,125335
2006,12503,Merrylands - Guildford,127360
2007,12503,Merrylands - Guildford,130241
2008,12503,Merrylands - Guildford,133731
2009,12503,Merrylands - Guildford,136694
2010,12503,Merrylands - Guildford,139624
2011,12503,Merrylands - Guildford,142224
2012,12503,Merrylands - Guildford,145318
2013,12503,Merrylands - Guildford,148667
2014,12503,Merrylands - Guildford,151678
2015,12503,Merrylands - Guildford,154582
2016,12503,Merrylands - Guildford,157512
1991,12504,Parramatta,98346
1992,12504,Parramatta,98871
1993,12504,Parramatta,98823
1994,12504,Parramatta,99686
1995,12504,Parramatta,100563
1996,12504,Parramatta,101405
1997,12504,Parramatta,102195
1998,12504,Parramatta,102931
1999,12504,Parramatta,104400
2000,12504,Parramatta,105924
2001,12504,Parramatta,107468
2002,12504,Parramatta,108451
2003,12504,Parramatta,109657
2004,12504,Parramatta,110883
2005,12504,Parramatta,112279
2006,12504,Parramatta,114515
2007,12504,Parramatta,117428
2008,12504,Parramatta,121022
2009,12504,Parramatta,125055
2010,12504,Parramatta,128420
2011,12504,Parramatta,131002
2012,12504,Parramatta,133664
2013,12504,Parramatta,137194
2014,12504,Parramatta,141070
2015,12504,Parramatta,144101
2016,12504,Parramatta,146708
1991,12601,Pennant Hills - Epping,40353
1992,12601,Pennant Hills - Epping,40358
1993,12601,Pennant Hills - Epping,40233
1994,12601,Pennant Hills - Epping,40098
1995,12601,Pennant Hills - Epping,39967
1996,12601,Pennant Hills - Epping,40037
1997,12601,Pennant Hills - Epping,40466
1998,12601,Pennant Hills - Epping,40749
1999,12601,Pennant Hills - Epping,41108
2000,12601,Pennant Hills - Epping,41595
2001,12601,Pennant Hills - Epping,42302
2002,12601,Pennant Hills - Epping,42039
2003,12601,Pennant Hills - Epping,42026
2004,12601,Pennant Hills - Epping,42367
2005,12601,Pennant Hills - Epping,42501
2006,12601,Pennant Hills - Epping,42705
2007,12601,Pennant Hills - Epping,43034
2008,12601,Pennant Hills - Epping,43469
2009,12601,Pennant Hills - Epping,44100
2010,12601,Pennant Hills - Epping,44546
2011,12601,Pennant Hills - Epping,44949
2012,12601,Pennant Hills - Epping,45616
2013,12601,Pennant Hills - Epping,46396
2014,12601,Pennant Hills - Epping,47224
2015,12601,Pennant Hills - Epping,48286
2016,12601,Pennant Hills - Epping,49288
1991,12602,Ryde - Hunters Hill,110386
1992,12602,Ryde - Hunters Hill,110668
1993,12602,Ryde - Hunters Hill,110721
1994,12602,Ryde - Hunters Hill,110890
1995,12602,Ryde - Hunters Hill,110906
1996,12602,Ryde - Hunters Hill,111522
1997,12602,Ryde - Hunters Hill,112292
1998,12602,Ryde - Hunters Hill,112154
1999,12602,Ryde - Hunters Hill,113428
2000,12602,Ryde - Hunters Hill,114166
2001,12602,Ryde - Hunters Hill,115210
2002,12602,Ryde - Hunters Hill,115483
2003,12602,Ryde - Hunters Hill,115774
2004,12602,Ryde - Hunters Hill,116097
2005,12602,Ryde - Hunters Hill,116591
2006,12602,Ryde - Hunters Hill,117344
2007,12602,Ryde - Hunters Hill,119618
2008,12602,Ryde - Hunters Hill,121726
2009,12602,Ryde - Hunters Hill,123151
2010,12602,Ryde - Hunters Hill,124783
2011,12602,Ryde - Hunters Hill,126401
2012,12602,Ryde - Hunters Hill,129326
2013,12602,Ryde - Hunters Hill,132116
2014,12602,Ryde - Hunters Hill,134865
2015,12602,Ryde - Hunters Hill,137867
2016,12602,Ryde - Hunters Hill,140873
1991,12701,Bringelly - Green Valley,39003
1992,12701,Bringelly - Green Valley,41428
1993,12701,Bringelly - Green Valley,43822
1994,12701,Bringelly - Green Valley,46085
1995,12701,Bringelly - Green Valley,49031
1996,12701,Bringelly - Green Valley,52045
1997,12701,Bringelly - Green Valley,56438
1998,12701,Bringelly - Green Valley,59939
1999,12701,Bringelly - Green Valley,63784
2000,12701,Bringelly - Green Valley,67483
2001,12701,Bringelly - Green Valley,71602
2002,12701,Bringelly - Green Valley,73731
2003,12701,Bringelly - Green Valley,74761
2004,12701,Bringelly - Green Valley,75564
2005,12701,Bringelly - Green Valley,76275
2006,12701,Bringelly - Green Valley,77373
2007,12701,Bringelly - Green Valley,78102
2008,12701,Bringelly - Green Valley,79152
2009,12701,Bringelly - Green Valley,80593
2010,12701,Bringelly - Green Valley,81866
2011,12701,Bringelly - Green Valley,83523
2012,12701,Bringelly - Green Valley,86272
2013,12701,Bringelly - Green Valley,89442
2014,12701,Bringelly - Green Valley,94292
2015,12701,Bringelly - Green Valley,99965
2016,12701,Bringelly - Green Valley,106340
1991,12702,Fairfield,169132
1992,12702,Fairfield,171115
1993,12702,Fairfield,172532
1994,12702,Fairfield,173630
1995,12702,Fairfield,174269
1996,12702,Fairfield,175918
1997,12702,Fairfield,176155
1998,12702,Fairfield,176282
1999,12702,Fairfield,175551
2000,12702,Fairfield,176183
2001,12702,Fairfield,176933
2002,12702,Fairfield,176301
2003,12702,Fairfield,175707
2004,12702,Fairfield,174687
2005,12702,Fairfield,175021
2006,12702,Fairfield,175086
2007,12702,Fairfield,176685
2008,12702,Fairfield,179384
2009,12702,Fairfield,181927
2010,12702,Fairfield,183195
2011,12702,Fairfield,183960
2012,12702,Fairfield,185601
2013,12702,Fairfield,187578
2014,12702,Fairfield,189311
2015,12702,Fairfield,191045
2016,12702,Fairfield,193076
1991,12703,Liverpool,65417
1992,12703,Liverpool,67200
1993,12703,Liverpool,68872
1994,12703,Liverpool,70617
1995,12703,Liverpool,72616
1996,12703,Liverpool,74994
1997,12703,Liverpool,77642
1998,12703,Liverpool,80605
1999,12703,Liverpool,83420
2000,12703,Liverpool,86952
2001,12703,Liverpool,90280
2002,12703,Liverpool,92169
2003,12703,Liverpool,93133
2004,12703,Liverpool,94072
2005,12703,Liverpool,95317
2006,12703,Liverpool,96624
2007,12703,Liverpool,98866
2008,12703,Liverpool,102389
2009,12703,Liverpool,105365
2010,12703,Liverpool,107265
2011,12703,Liverpool,109099
2012,12703,Liverpool,111350
2013,12703,Liverpool,113882
2014,12703,Liverpool,116159
2015,12703,Liverpool,119010
2016,12703,Liverpool,122238
1991,12801,Cronulla - Miranda - Caringbah,96369
1992,12801,Cronulla - Miranda - Caringbah,96650
1993,12801,Cronulla - Miranda - Caringbah,96964
1994,12801,Cronulla - Miranda - Caringbah,96969
1995,12801,Cronulla - Miranda - Caringbah,97126
1996,12801,Cronulla - Miranda - Caringbah,97490
1997,12801,Cronulla - Miranda - Caringbah,98288
1998,12801,Cronulla - Miranda - Caringbah,99698
1999,12801,Cronulla - Miranda - Caringbah,100785
2000,12801,Cronulla - Miranda - Caringbah,101444
2001,12801,Cronulla - Miranda - Caringbah,102827
2002,12801,Cronulla - Miranda - Caringbah,103382
2003,12801,Cronulla - Miranda - Caringbah,103498
2004,12801,Cronulla - Miranda - Caringbah,103388
2005,12801,Cronulla - Miranda - Caringbah,103719
2006,12801,Cronulla - Miranda - Caringbah,103884
2007,12801,Cronulla - Miranda - Caringbah,104831
2008,12801,Cronulla - Miranda - Caringbah,106569
2009,12801,Cronulla - Miranda - Caringbah,108172
2010,12801,Cronulla - Miranda - Caringbah,109069
2011,12801,Cronulla - Miranda - Caringbah,109508
2012,12801,Cronulla - Miranda - Caringbah,110247
2013,12801,Cronulla - Miranda - Caringbah,111231
2014,12801,Cronulla - Miranda - Caringbah,112279
2015,12801,Cronulla - Miranda - Caringbah,113315
2016,12801,Cronulla - Miranda - Caringbah,114106
1991,12802,Sutherland - Menai - Heathcote,97837
1992,12802,Sutherland - Menai - Heathcote,99130
1993,12802,Sutherland - Menai - Heathcote,100344
1994,12802,Sutherland - Menai - Heathcote,101680
1995,12802,Sutherland - Menai - Heathcote,102784
1996,12802,Sutherland - Menai - Heathcote,104389
1997,12802,Sutherland - Menai - Heathcote,105912
1998,12802,Sutherland - Menai - Heathcote,106625
1999,12802,Sutherland - Menai - Heathcote,107032
2000,12802,Sutherland - Menai - Heathcote,107799
2001,12802,Sutherland - Menai - Heathcote,109074
2002,12802,Sutherland - Menai - Heathcote,109054
2003,12802,Sutherland - Menai - Heathcote,108706
2004,12802,Sutherland - Menai - Heathcote,107958
2005,12802,Sutherland - Menai - Heathcote,107241
2006,12802,Sutherland - Menai - Heathcote,106827
2007,12802,Sutherland - Menai - Heathcote,107708
2008,12802,Sutherland - Menai - Heathcote,109163
2009,12802,Sutherland - Menai - Heathcote,110263
2010,12802,Sutherland - Menai - Heathcote,110399
2011,12802,Sutherland - Menai - Heathcote,110129
2012,12802,Sutherland - Menai - Heathcote,110361
2013,12802,Sutherland - Menai - Heathcote,110618
2014,12802,Sutherland - Menai - Heathcote,110930
2015,12802,Sutherland - Menai - Heathcote,111144
2016,12802,Sutherland - Menai - Heathcote,111321
1991,19797,Migratory - Offshore - Shipping (NSW),0
1992,19797,Migratory - Offshore - Shipping (NSW),0
1993,19797,Migratory - Offshore - Shipping (NSW),0
1994,19797,Migratory - Offshore - Shipping (NSW),0
1995,19797,Migratory - Offshore - Shipping (NSW),0
1996,19797,Migratory - Offshore - Shipping (NSW),0
1997,19797,Migratory - Offshore - Shipping (NSW),0
1998,19797,Migratory - Offshore - Shipping (NSW),0
1999,19797,Migratory - Offshore - Shipping (NSW),0
2000,19797,Migratory - Offshore - Shipping (NSW),0
2001,19797,Migratory - Offshore - Shipping (NSW),0
2002,19797,Migratory - Offshore - Shipping (NSW),0
2003,19797,Migratory - Offshore - Shipping (NSW),0
2004,19797,Migratory - Offshore - Shipping (NSW),0
2005,19797,Migratory - Offshore - Shipping (NSW),0
2006,19797,Migratory - Offshore - Shipping (NSW),0
2007,19797,Migratory - Offshore - Shipping (NSW),0
2008,19797,Migratory - Offshore - Shipping (NSW),0
2009,19797,Migratory - Offshore - Shipping (NSW),0
2010,19797,Migratory - Offshore - Shipping (NSW),0
2011,19797,Migratory - Offshore - Shipping (NSW),0
2012,19797,Migratory - Offshore - Shipping (NSW),0
2013,19797,Migratory - Offshore - Shipping (NSW),0
2014,19797,Migratory - Offshore - Shipping (NSW),0
2015,19797,Migratory - Offshore - Shipping (NSW),0
2016,19797,Migratory - Offshore - Shipping (NSW),0
1991,19999,Special Purpose Codes SA3 (NSW),0
1992,19999,Special Purpose Codes SA3 (NSW),0
1993,19999,Special Purpose Codes SA3 (NSW),0
1994,19999,Special Purpose Codes SA3 (NSW),0
1995,19999,Special Purpose Codes SA3 (NSW),0
1996,19999,Special Purpose Codes SA3 (NSW),0
1997,19999,Special Purpose Codes SA3 (NSW),0
1998,19999,Special Purpose Codes SA3 (NSW),0
1999,19999,Special Purpose Codes SA3 (NSW),0
2000,19999,Special Purpose Codes SA3 (NSW),0
2001,19999,Special Purpose Codes SA3 (NSW),0
2002,19999,Special Purpose Codes SA3 (NSW),0
2003,19999,Special Purpose Codes SA3 (NSW),0
2004,19999,Special Purpose Codes SA3 (NSW),0
2005,19999,Special Purpose Codes SA3 (NSW),0
2006,19999,Special Purpose Codes SA3 (NSW),0
2007,19999,Special Purpose Codes SA3 (NSW),0
2008,19999,Special Purpose Codes SA3 (NSW),0
2009,19999,Special Purpose Codes SA3 (NSW),0
2010,19999,Special Purpose Codes SA3 (NSW),0
2011,19999,Special Purpose Codes SA3 (NSW),0
2012,19999,Special Purpose Codes SA3 (NSW),0
2013,19999,Special Purpose Codes SA3 (NSW),0
2014,19999,Special Purpose Codes SA3 (NSW),0
2015,19999,Special Purpose Codes SA3 (NSW),0
2016,19999,Special Purpose Codes SA3 (NSW),0
1991,20101,Ballarat,79899
1992,20101,Ballarat,80297
1993,20101,Ballarat,80199
1994,20101,Ballarat,80068
1995,20101,Ballarat,80017
1996,20101,Ballarat,80353
1997,20101,Ballarat,80652
1998,20101,Ballarat,81165
1999,20101,Ballarat,82168
2000,20101,Ballarat,83072
2001,20101,Ballarat,84091
2002,20101,Ballarat,85032
2003,20101,Ballarat,86053
2004,20101,Ballarat,86636
2005,20101,Ballarat,87571
2006,20101,Ballarat,88513
2007,20101,Ballarat,89809
2008,20101,Ballarat,91551
2009,20101,Ballarat,93387
2010,20101,Ballarat,95409
2011,20101,Ballarat,97289
2012,20101,Ballarat,98843
2013,20101,Ballarat,100466
2014,20101,Ballarat,102068
2015,20101,Ballarat,103647
2016,20101,Ballarat,105564
1991,20102,Creswick - Daylesford - Ballan,24867
1992,20102,Creswick - Daylesford - Ballan,25096
1993,20102,Creswick - Daylesford - Ballan,25162
1994,20102,Creswick - Daylesford - Ballan,25242
1995,20102,Creswick - Daylesford - Ballan,25267
1996,20102,Creswick - Daylesford - Ballan,25349
1997,20102,Creswick - Daylesford - Ballan,25406
1998,20102,Creswick - Daylesford - Ballan,25499
1999,20102,Creswick - Daylesford - Ballan,25598
2000,20102,Creswick - Daylesford - Ballan,25750
2001,20102,Creswick - Daylesford - Ballan,25918
2002,20102,Creswick - Daylesford - Ballan,25828
2003,20102,Creswick - Daylesford - Ballan,25789
2004,20102,Creswick - Daylesford - Ballan,25870
2005,20102,Creswick - Daylesford - Ballan,25768
2006,20102,Creswick - Daylesford - Ballan,25803
2007,20102,Creswick - Daylesford - Ballan,25929
2008,20102,Creswick - Daylesford - Ballan,26261
2009,20102,Creswick - Daylesford - Ballan,26705
2010,20102,Creswick - Daylesford - Ballan,27030
2011,20102,Creswick - Daylesford - Ballan,27252
2012,20102,Creswick - Daylesford - Ballan,27566
2013,20102,Creswick - Daylesford - Ballan,27879
2014,20102,Creswick - Daylesford - Ballan,28146
2015,20102,Creswick - Daylesford - Ballan,28436
2016,20102,Creswick - Daylesford - Ballan,28746
1991,20103,Maryborough - Pyrenees,23791
1992,20103,Maryborough - Pyrenees,23978
1993,20103,Maryborough - Pyrenees,24079
1994,20103,Maryborough - Pyrenees,24111
1995,20103,Maryborough - Pyrenees,24175
1996,20103,Maryborough - Pyrenees,24248
1997,20103,Maryborough - Pyrenees,24153
1998,20103,Maryborough - Pyrenees,24039
