Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"113842572","Concord West - North Strathfield",1152,
"113842573","Concord West - North Strathfield",172,
"113842574","Concord West - North Strathfield",89,
"113842575","Concord West - North Strathfield",380,
"113842576","Concord West - North Strathfield",1902,
"113842577","Concord West - North Strathfield",3534,
"113842578","Concord West - North Strathfield",5229,
"113842579","Concord West - North Strathfield",60,
"113849999","Concord West - North Strathfield",830,
"113852631","Drummoyne - Rodd Point",189,
"113852632","Drummoyne - Rodd Point",232,
"113852633","Drummoyne - Rodd Point",426,
"113852634","Drummoyne - Rodd Point",1424,
"113852635","Drummoyne - Rodd Point",148,
"113852636","Drummoyne - Rodd Point",726,
"113859999","Drummoyne - Rodd Point",245,
"113862612","Five Dock - Abbotsford",1303,
"113862613","Five Dock - Abbotsford",998,
"113862614","Five Dock - Abbotsford",335,
"113862615","Five Dock - Abbotsford",349,
"113862616","Five Dock - Abbotsford",298,
"113862617","Five Dock - Abbotsford",431,
"113862618","Five Dock - Abbotsford",138,
"113869999","Five Dock - Abbotsford",399,
"113872694","Balmain",484,
"113872695","Balmain",336,
"113872696","Balmain",636,
"113872697","Balmain",434,
"113872698","Balmain",576,
"113872699","Balmain",1470,
"113872700","Balmain",334,
"113872701","Balmain",331,
"113872702","Balmain",25,
"113879999","Balmain",296,
"113882672","Leichhardt - Annandale",1772,
"113882673","Leichhardt - Annandale",1529,
"113882674","Leichhardt - Annandale",1037,
"113882675","Leichhardt - Annandale",331,
"113882676","Leichhardt - Annandale",848,
"113882677","Leichhardt - Annandale",464,
"113882678","Leichhardt - Annandale",620,
"113882679","Leichhardt - Annandale",508,
"113882680","Leichhardt - Annandale",825,
"113882681","Leichhardt - Annandale",346,
"113889999","Leichhardt - Annandale",977,
"113892649","Lilyfield - Rozelle",415,
"113892650","Lilyfield - Rozelle",480,
"113892651","Lilyfield - Rozelle",54,
"113892652","Lilyfield - Rozelle",608,
"113892653","Lilyfield - Rozelle",584,
"113892654","Lilyfield - Rozelle",208,
"113892655","Lilyfield - Rozelle",362,
"113892656","Lilyfield - Rozelle",211,
"113892657","Lilyfield - Rozelle",218,
"113892658","Lilyfield - Rozelle",856,
"113892659","Lilyfield - Rozelle",448,
"113899999","Lilyfield - Rozelle",307,
"113902497","Ashfield",468,
"113902498","Ashfield",619,
"113902499","Ashfield",210,
"113902500","Ashfield",3340,
"113902501","Ashfield",261,
"113902502","Ashfield",491,
"113902503","Ashfield",433,
"113909999","Ashfield",550,
"113912456","Burwood - Croydon",105,
"113912457","Burwood - Croydon",215,
"113912458","Burwood - Croydon",231,
"113912459","Burwood - Croydon",2870,
"113912460","Burwood - Croydon",444,
"113912461","Burwood - Croydon",208,
"113912462","Burwood - Croydon",137,
"113912463","Burwood - Croydon",4209,
"113912464","Burwood - Croydon",530,
"113912465","Burwood - Croydon",225,
"113912466","Burwood - Croydon",1647,
"113919999","Burwood - Croydon",804,
"113922535","Canterbury (North) - Ashbury",720,
"113922536","Canterbury (North) - Ashbury",528,
"113922537","Canterbury (North) - Ashbury",722,
"113932479","Croydon Park - Enfield",175,
"113932480","Croydon Park - Enfield",409,
"113932481","Croydon Park - Enfield",208,
"113932482","Croydon Park - Enfield",223,
"113932483","Croydon Park - Enfield",1044,
"113932484","Croydon Park - Enfield",496,
"113939999","Croydon Park - Enfield",75,
"113942550","Dulwich Hill - Lewisham",36,
"113942551","Dulwich Hill - Lewisham",355,
"113942552","Dulwich Hill - Lewisham",55,
"113942553","Dulwich Hill - Lewisham",264,
"113942554","Dulwich Hill - Lewisham",315,
"113942555","Dulwich Hill - Lewisham",383,
"113942556","Dulwich Hill - Lewisham",807,
"113949999","Dulwich Hill - Lewisham",26,
"113952516","Haberfield - Summer Hill",237,
"113952517","Haberfield - Summer Hill",212,
"113952518","Haberfield - Summer Hill",461,
"113952519","Haberfield - Summer Hill",485,
"113952520","Haberfield - Summer Hill",429,
"113952521","Haberfield - Summer Hill",574,
"113952522","Haberfield - Summer Hill",165,
"113959999","Haberfield - Summer Hill",225,
"113962409","Homebush",692,
"113962410","Homebush",326,
"113962411","Homebush",1103,
"113962412","Homebush",1305,
"113962413","Homebush",1005,
"113962414","Homebush",2095,
"113962415","Homebush",1473,
"113969999","Homebush",2568,
"113972428","Strathfield",1697,
"113972429","Strathfield",496,
"113972430","Strathfield",110,
"113972431","Strathfield",161,
"113972432","Strathfield",184,
"113972433","Strathfield",106,
"113972434","Strathfield",109,
"113972435","Strathfield",164,
"113972436","Strathfield",1060,
"113972437","Strathfield",570,
"113972438","Strathfield",705,
"113972439","Strathfield",574,
"113972440","Strathfield",305,
"113972441","Strathfield",866,
"113972442","Strathfield",931,
"113972443","Strathfield",91,
"113979999","Strathfield",907,
"113983220","Chatswood (East) - Artarmon",606,
"113983221","Chatswood (East) - Artarmon",348,
"113983222","Chatswood (East) - Artarmon",308,
"113983223","Chatswood (East) - Artarmon",625,
"113983224","Chatswood (East) - Artarmon",614,
"113983225","Chatswood (East) - Artarmon",8297,
"113983226","Chatswood (East) - Artarmon",4295,
"113983227","Chatswood (East) - Artarmon",3309,
"113983228","Chatswood (East) - Artarmon",203,
"113983229","Chatswood (East) - Artarmon",344,
"113983230","Chatswood (East) - Artarmon",2604,
"113989999","Chatswood (East) - Artarmon",424,
"113993200","Chatswood (West) - Lane Cove North",137,
"113993201","Chatswood (West) - Lane Cove North",66,
"113993202","Chatswood (West) - Lane Cove North",194,
"113993203","Chatswood (West) - Lane Cove North",713,
"113993204","Chatswood (West) - Lane Cove North",180,
"113993205","Chatswood (West) - Lane Cove North",495,
"113993206","Chatswood (West) - Lane Cove North",185,
"113993207","Chatswood (West) - Lane Cove North",721,
"113999999","Chatswood (West) - Lane Cove North",12,
"114003243","Lane Cove - Greenwich",271,
"114003244","Lane Cove - Greenwich",260,
"114003245","Lane Cove - Greenwich",126,
"114003246","Lane Cove - Greenwich",492,
"114003247","Lane Cove - Greenwich",521,
"114003248","Lane Cove - Greenwich",902,
"114003249","Lane Cove - Greenwich",1525,
"114003250","Lane Cove - Greenwich",272,
"114003251","Lane Cove - Greenwich",782,
"114003252","Lane Cove - Greenwich",398,
"114003253","Lane Cove - Greenwich",4259,
"114003254","Lane Cove - Greenwich",197,
"114003255","Lane Cove - Greenwich",973,
"114009999","Lane Cove - Greenwich",1268,
"114013268","St Leonards - Naremburn",7457,
"114013269","St Leonards - Naremburn",10113,
"114013270","St Leonards - Naremburn",4031,
"114013271","St Leonards - Naremburn",555,
"114013272","St Leonards - Naremburn",175,
"114013273","St Leonards - Naremburn",178,
"114013274","St Leonards - Naremburn",3097,
"114019999","St Leonards - Naremburn",160,
"114023287","Willoughby - Castle Cove - Northbridge",437,
"114023288","Willoughby - Castle Cove - Northbridge",297,
"114023289","Willoughby - Castle Cove - Northbridge",1329,
"114023290","Willoughby - Castle Cove - Northbridge",478,
"114023291","Willoughby - Castle Cove - Northbridge",660,
"114023292","Willoughby - Castle Cove - Northbridge",547,
"114023293","Willoughby - Castle Cove - Northbridge",542,
"114023294","Willoughby - Castle Cove - Northbridge",912,
"114023295","Willoughby - Castle Cove - Northbridge",197,
"114023296","Willoughby - Castle Cove - Northbridge",313,
"114023297","Willoughby - Castle Cove - Northbridge",369,
"114029999","Willoughby - Castle Cove - Northbridge",465,
"114033017","Asquith - Mount Colah",400,
"114033018","Asquith - Mount Colah",528,
"114033019","Asquith - Mount Colah",163,
"114033020","Asquith - Mount Colah",298,
"114033021","Asquith - Mount Colah",133,
"114033022","Asquith - Mount Colah",154,
"114033023","Asquith - Mount Colah",145,
"114033024","Asquith - Mount Colah",1340,
"114033025","Asquith - Mount Colah",135,
"114039999","Asquith - Mount Colah",43,
"114042998","Berowra - Brooklyn - Cowan",175,
"114042999","Berowra - Brooklyn - Cowan",347,
"114043000","Berowra - Brooklyn - Cowan",283,
"114043001","Berowra - Brooklyn - Cowan",81,
"114043002","Berowra - Brooklyn - Cowan",217,
"114043003","Berowra - Brooklyn - Cowan",243,
"114043004","Berowra - Brooklyn - Cowan",34,
"114049999","Berowra - Brooklyn - Cowan",122,
"114053057","Hornsby - Waitara",1468,
"114053058","Hornsby - Waitara",213,
"114053059","Hornsby - Waitara",508,
"114053060","Hornsby - Waitara",164,
"114053061","Hornsby - Waitara",640,
"114053062","Hornsby - Waitara",4170,
"114053063","Hornsby - Waitara",507,
"114053064","Hornsby - Waitara",1374,
"114053065","Hornsby - Waitara",526,
"114053066","Hornsby - Waitara",1500,
"114053067","Hornsby - Waitara",290,
"114053068","Hornsby - Waitara",2036,
"114053069","Hornsby - Waitara",201,
"114059999","Hornsby - Waitara",910,
"114063038","Normanhurst - Thornleigh - Westleigh",1567,
"114063039","Normanhurst - Thornleigh - Westleigh",204,
"114063040","Normanhurst - Thornleigh - Westleigh",190,
"114063041","Normanhurst - Thornleigh - Westleigh",621,
"114063042","Normanhurst - Thornleigh - Westleigh",283,
"114063043","Normanhurst - Thornleigh - Westleigh",1385,
"114063044","Normanhurst - Thornleigh - Westleigh",343,
"114069999","Normanhurst - Thornleigh - Westleigh",356,
"114073160","Gordon - Killara",131,
"114073161","Gordon - Killara",475,
"114073162","Gordon - Killara",531,
"114073163","Gordon - Killara",573,
"114073164","Gordon - Killara",201,
"114073165","Gordon - Killara",2416,
"114073166","Gordon - Killara",407,
"114073167","Gordon - Killara",85,
"114079999","Gordon - Killara",432,
"114083180","Lindfield - Roseville",475,
"114083181","Lindfield - Roseville",367,
"114083182","Lindfield - Roseville",406,
"114083183","Lindfield - Roseville",629,
"114083184","Lindfield - Roseville",977,
"114083185","Lindfield - Roseville",781,
"114083186","Lindfield - Roseville",379,
"114083187","Lindfield - Roseville",372,
"114089999","Lindfield - Roseville",233,
"114093121","Pymble",143,
"114093122","Pymble",380,
"114093123","Pymble",2926,
"114093124","Pymble",514,
"114093125","Pymble",582,
"114093126","Pymble",126,
"114093127","Pymble",383,
"114099999","Pymble",260,
"114103140","St Ives",98,
"114103141","St Ives",279,
"114103142","St Ives",110,
"114103143","St Ives",274,
"114103144","St Ives",1306,
"114103145","St Ives",400,
"114103146","St Ives",639,
"114103147","St Ives",163,
"114109999","St Ives",410,
"114113102","Turramurra",376,
"114113103","Turramurra",122,
"114113104","Turramurra",584,
"114113105","Turramurra",563,
"114113106","Turramurra",255,
"114113107","Turramurra",252,
"114113108","Turramurra",1095,
"114119999","Turramurra",153,
"114123082","Wahroonga - Warrawee",2326,
"114123083","Wahroonga - Warrawee",247,
"114123084","Wahroonga - Warrawee",233,
"114123085","Wahroonga - Warrawee",464,
"114123086","Wahroonga - Warrawee",1284,
"114123087","Wahroonga - Warrawee",116,
"114123088","Wahroonga - Warrawee",222,
"114123089","Wahroonga - Warrawee",181,
"114129999","Wahroonga - Warrawee",133,
"114133355","Cremorne - Cammeray",213,
"114133356","Cremorne - Cammeray",510,
"114133357","Cremorne - Cammeray",174,
"114133358","Cremorne - Cammeray",736,
"114133359","Cremorne - Cammeray",487,
"114133360","Cremorne - Cammeray",455,
"114133361","Cremorne - Cammeray",123,
"114139999","Cremorne - Cammeray",24,
"114143310","Crows Nest - Waverton",818,
"114143311","Crows Nest - Waverton",116,
"114143312","Crows Nest - Waverton",263,
"114143313","Crows Nest - Waverton",1442,
"114143314","Crows Nest - Waverton",371,
"114143315","Crows Nest - Waverton",305,
"114143316","Crows Nest - Waverton",1820,
"114143317","Crows Nest - Waverton",1265,
"114143318","Crows Nest - Waverton",923,
"114149999","Crows Nest - Waverton",240,
"114153393","Mosman",326,
"114153394","Mosman",318,
"114153395","Mosman",180,
"114153396","Mosman",485,
"114153397","Mosman",260,
"114153398","Mosman",576,
"114153399","Mosman",356,
"114153400","Mosman",702,
"114153401","Mosman",291,
"114153402","Mosman",731,
"114153403","Mosman",214,
"114153404","Mosman",520,
"114153405","Mosman",360,
"114153406","Mosman",670,
"114153407","Mosman",320,
"114153408","Mosman",297,
"114159999","Mosman",1267,
"114163374","Neutral Bay - Kirribilli",624,
"114163375","Neutral Bay - Kirribilli",396,
"114163376","Neutral Bay - Kirribilli",251,
"114163377","Neutral Bay - Kirribilli",732,
"114163378","Neutral Bay - Kirribilli",279,
"114163379","Neutral Bay - Kirribilli",532,
"114163380","Neutral Bay - Kirribilli",2897,
"114169999","Neutral Bay - Kirribilli",347,
"114173331","North Sydney - Lavender Bay",180,
"114173332","North Sydney - Lavender Bay",3287,
"114173333","North Sydney - Lavender Bay",968,
"114173334","North Sydney - Lavender Bay",1581,
"114173335","North Sydney - Lavender Bay",419,
"114173336","North Sydney - Lavender Bay",6103,
"114173337","North Sydney - Lavender Bay",6088,
"114173338","North Sydney - Lavender Bay",4981,
"114173339","North Sydney - Lavender Bay",10779,
"114173340","North Sydney - Lavender Bay",5755,
"114173341","North Sydney - Lavender Bay",1039,
"114173342","North Sydney - Lavender Bay",424,
"114179999","North Sydney - Lavender Bay",1407,
"114182958","Balgowlah - Clontarf - Seaforth",209,
"114182959","Balgowlah - Clontarf - Seaforth",341,
"114182960","Balgowlah - Clontarf - Seaforth",739,
"114182961","Balgowlah - Clontarf - Seaforth",406,
"114182962","Balgowlah - Clontarf - Seaforth",334,
"114182963","Balgowlah - Clontarf - Seaforth",831,
"114182964","Balgowlah - Clontarf - Seaforth",206,
"114182965","Balgowlah - Clontarf - Seaforth",719,
"114189999","Balgowlah - Clontarf - Seaforth",335,
"114192978","Manly - Fairlight",1026,
"114192979","Manly - Fairlight",484,
"114192980","Manly - Fairlight",176,
"114192981","Manly - Fairlight",260,
"114192982","Manly - Fairlight",3187,
"114192983","Manly - Fairlight",222,
"114192984","Manly - Fairlight",136,
"114192985","Manly - Fairlight",654,
"114199999","Manly - Fairlight",896,
"114202736","Avalon - Palm Beach",1043,
"114202737","Avalon - Palm Beach",182,
"114202738","Avalon - Palm Beach",558,
"114202739","Avalon - Palm Beach",390,
"114202740","Avalon - Palm Beach",589,
"114209999","Avalon - Palm Beach",231,
"114212715","Bayview - Elanora Heights",496,
"114212716","Bayview - Elanora Heights",99,
"114212717","Bayview - Elanora Heights",99,
"114212718","Bayview - Elanora Heights",210,
"114212719","Bayview - Elanora Heights",83,
"114212720","Bayview - Elanora Heights",66,
"114212721","Bayview - Elanora Heights",419,
"114212722","Bayview - Elanora Heights",282,
"114212723","Bayview - Elanora Heights",79,
"114219999","Bayview - Elanora Heights",145,
"114222753","Newport - Bilgola",126,
"114222754","Newport - Bilgola",568,
"114222755","Newport - Bilgola",325,
"114222756","Newport - Bilgola",675,
"114222757","Newport - Bilgola",247,
"114222758","Newport - Bilgola",131,
"114229999","Newport - Bilgola",222,
"114232771","Warriewood - Mona Vale",481,
"114232772","Warriewood - Mona Vale",346,
"114232773","Warriewood - Mona Vale",1428,
"114232774","Warriewood - Mona Vale",236,
"114232775","Warriewood - Mona Vale",293,
"114232776","Warriewood - Mona Vale",2847,
"114232777","Warriewood - Mona Vale",702,
"114232778","Warriewood - Mona Vale",414,
"114232779","Warriewood - Mona Vale",301,
"114232780","Warriewood - Mona Vale",1308,
"114232781","Warriewood - Mona Vale",1605,
"114232782","Warriewood - Mona Vale",273,
"114239999","Warriewood - Mona Vale",932,
"114242864","Beacon Hill - Narraweena",94,
"114242865","Beacon Hill - Narraweena",110,
"114242866","Beacon Hill - Narraweena",275,
"114242867","Beacon Hill - Narraweena",302,
"114242868","Beacon Hill - Narraweena",162,
"114242869","Beacon Hill - Narraweena",136,
"114249999","Beacon Hill - Narraweena",108,
"114252849","Cromer",275,
"114252850","Cromer",255,
"114252851","Cromer",1772,
"114259999","Cromer",76,
"114262918","Dee Why - North Curl Curl",160,
"114262919","Dee Why - North Curl Curl",499,
"114262920","Dee Why - North Curl Curl",242,
"114262921","Dee Why - North Curl Curl",113,
"114262922","Dee Why - North Curl Curl",436,
"114262923","Dee Why - North Curl Curl",2661,
"114262924","Dee Why - North Curl Curl",167,
"114262925","Dee Why - North Curl Curl",352,
"114269999","Dee Why - North Curl Curl",250,
"114272833","Forestville - Killarney Heights",567,
"114272834","Forestville - Killarney Heights",958,
"114272835","Forestville - Killarney Heights",156,
"114272836","Forestville - Killarney Heights",198,
"114279999","Forestville - Killarney Heights",154,
"114282809","Frenchs Forest - Belrose",299,
"114282810","Frenchs Forest - Belrose",5583,
"114282811","Frenchs Forest - Belrose",425,
"114282812","Frenchs Forest - Belrose",351,
"114282813","Frenchs Forest - Belrose",460,
"114282814","Frenchs Forest - Belrose",311,
"114282815","Frenchs Forest - Belrose",269,
"114282816","Frenchs Forest - Belrose",484,
"114282817","Frenchs Forest - Belrose",598,
"114282818","Frenchs Forest - Belrose",63,
"114282819","Frenchs Forest - Belrose",600,
"114282820","Frenchs Forest - Belrose",2522,
"114289999","Frenchs Forest - Belrose",934,
"114292938","Freshwater - Brookvale",387,
"114292939","Freshwater - Brookvale",494,
"114292940","Freshwater - Brookvale",438,
"114292941","Freshwater - Brookvale",421,
"114292942","Freshwater - Brookvale",168,
"114292943","Freshwater - Brookvale",6324,
"114292944","Freshwater - Brookvale",4331,
"114292945","Freshwater - Brookvale",939,
"114299999","Freshwater - Brookvale",1179,
"114302882","Manly Vale - Allambie Heights",286,
"114302883","Manly Vale - Allambie Heights",659,
"114302884","Manly Vale - Allambie Heights",446,
"114302885","Manly Vale - Allambie Heights",535,
"114302886","Manly Vale - Allambie Heights",240,
"114302887","Manly Vale - Allambie Heights",467,
"114309999","Manly Vale - Allambie Heights",269,
"114312900","Narrabeen - Collaroy",867,
"114312901","Narrabeen - Collaroy",320,
"114312902","Narrabeen - Collaroy",436,
"114312903","Narrabeen - Collaroy",683,
"114312904","Narrabeen - Collaroy",274,
"114312905","Narrabeen - Collaroy",927,
"114319999","Narrabeen - Collaroy",286,
"114322795","Terrey Hills - Duffys Forest",1343,
"114322796","Terrey Hills - Duffys Forest",511,
"114329999","Terrey Hills - Duffys Forest",172,
"114334764","Camden - Ellis Lane",317,
"114334765","Camden - Ellis Lane",605,
"114334766","Camden - Ellis Lane",305,
"114334767","Camden - Ellis Lane",328,
"114334768","Camden - Ellis Lane",2173,
"114339999","Camden - Ellis Lane",364,
"114344781","Elderslie - Harrington Park",311,
"114344782","Elderslie - Harrington Park",289,
"114344783","Elderslie - Harrington Park",1109,
"114344784","Elderslie - Harrington Park",1586,
"114344785","Elderslie - Harrington Park",279,
"114344786","Elderslie - Harrington Park",206,
"114344787","Elderslie - Harrington Park",72,
"114349999","Elderslie - Harrington Park",300,
"114354800","Mount Annan - Currans Hill",219,
"114354801","Mount Annan - Currans Hill",372,
"114354802","Mount Annan - Currans Hill",259,
"114354803","Mount Annan - Currans Hill",746,
"114354804","Mount Annan - Currans Hill",284,
"114354805","Mount Annan - Currans Hill",255,
"114354806","Mount Annan - Currans Hill",3771,
"114359999","Mount Annan - Currans Hill",312,
"114365024","Bradbury - Wedderburn",187,
"114365025","Bradbury - Wedderburn",143,
"114365026","Bradbury - Wedderburn",112,
"114365027","Bradbury - Wedderburn",91,
"114365028","Bradbury - Wedderburn",443,
"114365029","Bradbury - Wedderburn",361,
"114365030","Bradbury - Wedderburn",300,
"114369999","Bradbury - Wedderburn",101,
"114374925","Campbelltown - Woodbine",696,
"114374926","Campbelltown - Woodbine",2536,
"114374927","Campbelltown - Woodbine",2056,
"114374928","Campbelltown - Woodbine",267,
"114374929","Campbelltown - Woodbine",75,
"114374930","Campbelltown - Woodbine",5931,
"114374931","Campbelltown - Woodbine",1095,
"114374932","Campbelltown - Woodbine",153,
"114374933","Campbelltown - Woodbine",103,
"114374934","Campbelltown - Woodbine",175,
"114374935","Campbelltown - Woodbine",1166,
"114379999","Campbelltown - Woodbine",845,
"114384882","Claymore - Eagle Vale - Raby",69,
"114384883","Claymore - Eagle Vale - Raby",126,
"114384884","Claymore - Eagle Vale - Raby",110,
"114384885","Claymore - Eagle Vale - Raby",183,
"114384886","Claymore - Eagle Vale - Raby",330,
"114384887","Claymore - Eagle Vale - Raby",130,
"114384888","Claymore - Eagle Vale - Raby",96,
"114384889","Claymore - Eagle Vale - Raby",406,
"114389999","Claymore - Eagle Vale - Raby",182,
"114404902","Ingleburn - Denham Court",213,
"114404903","Ingleburn - Denham Court",79,
"114404904","Ingleburn - Denham Court",97,
"114404905","Ingleburn - Denham Court",702,
"114404906","Ingleburn - Denham Court",102,
"114404907","Ingleburn - Denham Court",3293,
"114404908","Ingleburn - Denham Court",121,
"114404909","Ingleburn - Denham Court",956,
"114404910","Ingleburn - Denham Court",2974,
"114404911","Ingleburn - Denham Court",10,
"114404912","Ingleburn - Denham Court",78,
"114409999","Ingleburn - Denham Court",992,
"114415008","Leumeah - Minto Heights",196,
"114415009","Leumeah - Minto Heights",333,
"114415010","Leumeah - Minto Heights",205,
"114415011","Leumeah - Minto Heights",386,
"114419999","Leumeah - Minto Heights",129,
"114424969","Macquarie Fields - Glenfield",98,
"114424970","Macquarie Fields - Glenfield",338,
"114424971","Macquarie Fields - Glenfield",124,
"114424972","Macquarie Fields - Glenfield",708,
"114424973","Macquarie Fields - Glenfield",216,
"114424974","Macquarie Fields - Glenfield",436,
"114424975","Macquarie Fields - Glenfield",351,
"114429999","Macquarie Fields - Glenfield",467,
"114434948","Minto - St Andrews",1143,
"114434949","Minto - St Andrews",2052,
"114434950","Minto - St Andrews",225,
"114434951","Minto - St Andrews",231,
"114434952","Minto - St Andrews",327,
"114434953","Minto - St Andrews",361,
"114434954","Minto - St Andrews",1036,
"114434955","Minto - St Andrews",106,
"114434956","Minto - St Andrews",75,
"114439999","Minto - St Andrews",779,
"114444988","Rosemeadow - Glen Alpine",201,
"114444989","Rosemeadow - Glen Alpine",245,
"114444990","Rosemeadow - Glen Alpine",411,
"114444991","Rosemeadow - Glen Alpine",163,
"114444992","Rosemeadow - Glen Alpine",161,
"114444993","Rosemeadow - Glen Alpine",123,
"114444994","Rosemeadow - Glen Alpine",205,
"114444995","Rosemeadow - Glen Alpine",314,
"114449999","Rosemeadow - Glen Alpine",362,
"114454851","Bargo",697,
"114464864","Douglas Park - Appin",182,
"114464865","Douglas Park - Appin",1100,
"114464866","Douglas Park - Appin",272,
"114464867","Douglas Park - Appin",317,
"114464868","Douglas Park - Appin",173,
"114464869","Douglas Park - Appin",269,
"114469999","Douglas Park - Appin",160,
"114474833","Picton - Tahmoor - Buxton",105,
"114474834","Picton - Tahmoor - Buxton",46,
"114474835","Picton - Tahmoor - Buxton",1082,
"114474836","Picton - Tahmoor - Buxton",93,
"114474837","Picton - Tahmoor - Buxton",315,
"114474838","Picton - Tahmoor - Buxton",2013,
"114479999","Picton - Tahmoor - Buxton",540,
"114484819","The Oaks - Oakdale",769,
"114484820","The Oaks - Oakdale",458,
"114489999","The Oaks - Oakdale",38,
"114495056","Blackheath - Megalong Valley",529,
"114495057","Blackheath - Megalong Valley",163,
"114495058","Blackheath - Megalong Valley",186,
"114499999","Blackheath - Megalong Valley",129,
"114505159","Blaxland - Warrimoo - Lapstone",402,
"114505160","Blaxland - Warrimoo - Lapstone",84,
"114505161","Blaxland - Warrimoo - Lapstone",433,
"114505162","Blaxland - Warrimoo - Lapstone",926,
"114505163","Blaxland - Warrimoo - Lapstone",207,
"114505164","Blaxland - Warrimoo - Lapstone",260,
"114505165","Blaxland - Warrimoo - Lapstone",254,
"114505166","Blaxland - Warrimoo - Lapstone",144,
"114509999","Blaxland - Warrimoo - Lapstone",225,
"114515092","Blue Mountains - North",11,
"114525072","Katoomba - Leura",823,
"114525073","Katoomba - Leura",1052,
"114525074","Katoomba - Leura",1687,
"114525075","Katoomba - Leura",629,
"114525076","Katoomba - Leura",200,
"114525077","Katoomba - Leura",583,
"114529999","Katoomba - Leura",581,
"114535120","Lawson - Hazelbrook - Linden",493,
"114535121","Lawson - Hazelbrook - Linden",94,
"114535122","Lawson - Hazelbrook - Linden",65,
"114535123","Lawson - Hazelbrook - Linden",640,
"114535124","Lawson - Hazelbrook - Linden",43,
"114539999","Lawson - Hazelbrook - Linden",139,
"114545137","Springwood - Winmalee",244,
"114545138","Springwood - Winmalee",846,
"114545139","Springwood - Winmalee",225,
"114545140","Springwood - Winmalee",237,
"114545141","Springwood - Winmalee",237,
"114545142","Springwood - Winmalee",410,
"114545143","Springwood - Winmalee",562,
"114545144","Springwood - Winmalee",164,
"114545145","Springwood - Winmalee",319,
"114545146","Springwood - Winmalee",687,
"114549999","Springwood - Winmalee",469,
"114555105","Wentworth Falls",410,
"114555106","Wentworth Falls",413,
"114555107","Wentworth Falls",278,
"114559999","Wentworth Falls",95,
"114565179","Blue Mountains - South",5,
"114575336","Cambridge Park",171,
"114575337","Cambridge Park",44,
"114575338","Cambridge Park",162,
"114575339","Cambridge Park",229,
"114575340","Cambridge Park",350,
"114579999","Cambridge Park",98,
"114585263","Castlereagh - Cranebrook",483,
"114585264","Castlereagh - Cranebrook",812,
"114585265","Castlereagh - Cranebrook",393,
"114585266","Castlereagh - Cranebrook",91,
"114585267","Castlereagh - Cranebrook",241,
"114585268","Castlereagh - Cranebrook",117,
"114585269","Castlereagh - Cranebrook",145,
"114589999","Castlereagh - Cranebrook",165,
"114595245","Emu Plains - Leonay",205,
"114595246","Emu Plains - Leonay",493,
"114595247","Emu Plains - Leonay",109,
"114595248","Emu Plains - Leonay",422,
"114595249","Emu Plains - Leonay",179,
"114595250","Emu Plains - Leonay",1789,
"114599999","Emu Plains - Leonay",442,
"114605319","Glenmore Park - Regentville",223,
"114605320","Glenmore Park - Regentville",356,
"114605321","Glenmore Park - Regentville",470,
"114605322","Glenmore Park - Regentville",128,
"114605323","Glenmore Park - Regentville",506,
"114609999","Glenmore Park - Regentville",204,
"114615301","Jamisontown - South Penrith",354,
"114615302","Jamisontown - South Penrith",249,
"114615303","Jamisontown - South Penrith",233,
"114615304","Jamisontown - South Penrith",199,
"114615305","Jamisontown - South Penrith",188,
"114615306","Jamisontown - South Penrith",2789,
"114619999","Jamisontown - South Penrith",326,
"114625367","Kingswood - Werrington",127,
"114625368","Kingswood - Werrington",1254,
"114625369","Kingswood - Werrington",76,
"114625370","Kingswood - Werrington",277,
"114625371","Kingswood - Werrington",460,
"114625372","Kingswood - Werrington",2875,
"114625373","Kingswood - Werrington",350,
"114625374","Kingswood - Werrington",674,
"114625375","Kingswood - Werrington",175,
"114625376","Kingswood - Werrington",124,
"114629999","Kingswood - Werrington",510,
"114635389","Mulgoa - Luddenham - Orchard Hills",319,
"114635390","Mulgoa - Luddenham - Orchard Hills",214,
"114635391","Mulgoa - Luddenham - Orchard Hills",186,
"114635392","Mulgoa - Luddenham - Orchard Hills",161,
"114635393","Mulgoa - Luddenham - Orchard Hills",632,
"114635394","Mulgoa - Luddenham - Orchard Hills",175,
"114639999","Mulgoa - Luddenham - Orchard Hills",264,
"114645282","Penrith",1730,
"114645283","Penrith",963,
"114645284","Penrith",9394,
"114645285","Penrith",477,
"114645286","Penrith",1459,
"114645287","Penrith",1894,
"114645288","Penrith",202,
"114649999","Penrith",965,
"114655353","Warragamba - Silverdale",268,
"114655354","Warragamba - Silverdale",448,
"114659999","Warragamba - Silverdale",68,
"114665192","Richmond - Clarendon",632,
"114665193","Richmond - Clarendon",197,
"114665194","Richmond - Clarendon",152,
"114665195","Richmond - Clarendon",2806,
"114665196","Richmond - Clarendon",2115,
"114665197","Richmond - Clarendon",1578,
"114669999","Richmond - Clarendon",479,
"114675226","Windsor - Bligh Park",129,
"114675227","Windsor - Bligh Park",82,
"114675228","Windsor - Bligh Park",184,
"114675229","Windsor - Bligh Park",323,
"114675230","Windsor - Bligh Park",206,
