Counting,SA2 (POW),Count
"Persons Aged 15 Years and Over, Place of Work",Croydon Park - Enfield,0
"Persons Aged 15 Years and Over, Place of Work",Dulwich Hill - Lewisham,0
"Persons Aged 15 Years and Over, Place of Work",Haberfield - Summer Hill,0
"Persons Aged 15 Years and Over, Place of Work",Homebush,0
"Persons Aged 15 Years and Over, Place of Work",Strathfield,0
"Persons Aged 15 Years and Over, Place of Work",Strathfield South,0
"Persons Aged 15 Years and Over, Place of Work",Chatswood (East) - Artarmon,0
"Persons Aged 15 Years and Over, Place of Work",Chatswood (West) - Lane Cove North,0
"Persons Aged 15 Years and Over, Place of Work",Lane Cove - Greenwich,0
"Persons Aged 15 Years and Over, Place of Work",St Leonards - Naremburn,0
"Persons Aged 15 Years and Over, Place of Work",Willoughby - Castle Cove - Northbridge,0
"Persons Aged 15 Years and Over, Place of Work",Asquith - Mount Colah,0
"Persons Aged 15 Years and Over, Place of Work",Berowra - Brooklyn - Cowan,0
"Persons Aged 15 Years and Over, Place of Work",Normanhurst - Thornleigh - Westleigh,0
"Persons Aged 15 Years and Over, Place of Work",Hornsby - East,0
"Persons Aged 15 Years and Over, Place of Work",Hornsby - West,0
"Persons Aged 15 Years and Over, Place of Work",Waitara - Wahroonga (West),0
"Persons Aged 15 Years and Over, Place of Work",Gordon - Killara,0
"Persons Aged 15 Years and Over, Place of Work",Lindfield - Roseville,0
"Persons Aged 15 Years and Over, Place of Work",Pymble,0
"Persons Aged 15 Years and Over, Place of Work",St Ives,0
"Persons Aged 15 Years and Over, Place of Work",Turramurra,0
"Persons Aged 15 Years and Over, Place of Work",Wahroonga (East) - Warrawee,0
"Persons Aged 15 Years and Over, Place of Work",Cremorne - Cammeray,0
"Persons Aged 15 Years and Over, Place of Work",Crows Nest - Waverton,0
"Persons Aged 15 Years and Over, Place of Work",Mosman,0
"Persons Aged 15 Years and Over, Place of Work",Neutral Bay - Kirribilli,0
"Persons Aged 15 Years and Over, Place of Work",North Sydney - Lavender Bay,0
"Persons Aged 15 Years and Over, Place of Work",Balgowlah - Clontarf - Seaforth,0
"Persons Aged 15 Years and Over, Place of Work",Manly - Fairlight,0
"Persons Aged 15 Years and Over, Place of Work",Avalon - Palm Beach,0
"Persons Aged 15 Years and Over, Place of Work",Bayview - Elanora Heights,0
"Persons Aged 15 Years and Over, Place of Work",Newport - Bilgola,0
"Persons Aged 15 Years and Over, Place of Work",Warriewood - Mona Vale,0
"Persons Aged 15 Years and Over, Place of Work",Beacon Hill - Narraweena,0
"Persons Aged 15 Years and Over, Place of Work",Cromer,0
"Persons Aged 15 Years and Over, Place of Work",Dee Why - North Curl Curl,0
"Persons Aged 15 Years and Over, Place of Work",Forestville - Killarney Heights,0
"Persons Aged 15 Years and Over, Place of Work",Frenchs Forest - Belrose,0
"Persons Aged 15 Years and Over, Place of Work",Freshwater - Brookvale,0
"Persons Aged 15 Years and Over, Place of Work",Manly Vale - Allambie Heights,0
"Persons Aged 15 Years and Over, Place of Work",Narrabeen - Collaroy,0
"Persons Aged 15 Years and Over, Place of Work",Terrey Hills - Duffys Forest,0
"Persons Aged 15 Years and Over, Place of Work",Camden - Ellis Lane,0
"Persons Aged 15 Years and Over, Place of Work",Elderslie - Harrington Park,0
"Persons Aged 15 Years and Over, Place of Work",Mount Annan - Currans Hill,0
"Persons Aged 15 Years and Over, Place of Work",Bradbury - Wedderburn,0
"Persons Aged 15 Years and Over, Place of Work",Campbelltown - Woodbine,0
"Persons Aged 15 Years and Over, Place of Work",Claymore - Eagle Vale - Raby,0
"Persons Aged 15 Years and Over, Place of Work",Holsworthy Military Area,0
"Persons Aged 15 Years and Over, Place of Work",Ingleburn - Denham Court,0
"Persons Aged 15 Years and Over, Place of Work",Leumeah - Minto Heights,0
"Persons Aged 15 Years and Over, Place of Work",Macquarie Fields - Glenfield,0
"Persons Aged 15 Years and Over, Place of Work",Minto - St Andrews,0
"Persons Aged 15 Years and Over, Place of Work",Rosemeadow - Glen Alpine,0
"Persons Aged 15 Years and Over, Place of Work",Bargo,0
"Persons Aged 15 Years and Over, Place of Work",Douglas Park - Appin,0
"Persons Aged 15 Years and Over, Place of Work",Picton - Tahmoor - Buxton,0
"Persons Aged 15 Years and Over, Place of Work",The Oaks - Oakdale,0
"Persons Aged 15 Years and Over, Place of Work",Blackheath - Megalong Valley,0
"Persons Aged 15 Years and Over, Place of Work",Blaxland - Warrimoo - Lapstone,0
"Persons Aged 15 Years and Over, Place of Work",Blue Mountains - North,0
"Persons Aged 15 Years and Over, Place of Work",Katoomba - Leura,0
"Persons Aged 15 Years and Over, Place of Work",Lawson - Hazelbrook - Linden,0
"Persons Aged 15 Years and Over, Place of Work",Springwood - Winmalee,0
"Persons Aged 15 Years and Over, Place of Work",Wentworth Falls,0
"Persons Aged 15 Years and Over, Place of Work",Blue Mountains - South,0
"Persons Aged 15 Years and Over, Place of Work",Cambridge Park,0
"Persons Aged 15 Years and Over, Place of Work",Castlereagh - Cranebrook,0
"Persons Aged 15 Years and Over, Place of Work",Emu Plains - Leonay,0
"Persons Aged 15 Years and Over, Place of Work",Glenmore Park - Regentville,0
"Persons Aged 15 Years and Over, Place of Work",Jamisontown - South Penrith,0
"Persons Aged 15 Years and Over, Place of Work",Kingswood - Werrington,0
"Persons Aged 15 Years and Over, Place of Work",Mulgoa - Luddenham - Orchard Hills,0
"Persons Aged 15 Years and Over, Place of Work",Penrith,0
"Persons Aged 15 Years and Over, Place of Work",Warragamba - Silverdale,0
"Persons Aged 15 Years and Over, Place of Work",Richmond - Clarendon,0
"Persons Aged 15 Years and Over, Place of Work",Windsor - Bligh Park,0
"Persons Aged 15 Years and Over, Place of Work",Yarramundi - Londonderry,0
"Persons Aged 15 Years and Over, Place of Work",Erskine Park,0
"Persons Aged 15 Years and Over, Place of Work",St Clair,0
"Persons Aged 15 Years and Over, Place of Work",Colyton - Oxley Park,0
"Persons Aged 15 Years and Over, Place of Work",St Marys - North St Marys,0
"Persons Aged 15 Years and Over, Place of Work",Homebush Bay - Silverwater,0
"Persons Aged 15 Years and Over, Place of Work",Rookwood Cemetery,0
"Persons Aged 15 Years and Over, Place of Work",Auburn - Central,0
"Persons Aged 15 Years and Over, Place of Work",Auburn - North,0
"Persons Aged 15 Years and Over, Place of Work",Auburn - South,0
"Persons Aged 15 Years and Over, Place of Work",Berala,0
"Persons Aged 15 Years and Over, Place of Work",Lidcombe,0
"Persons Aged 15 Years and Over, Place of Work",Regents Park,0
"Persons Aged 15 Years and Over, Place of Work",Carlingford,0
"Persons Aged 15 Years and Over, Place of Work",Ermington - Rydalmere,0
"Persons Aged 15 Years and Over, Place of Work",Oatlands - Dundas Valley,0
"Persons Aged 15 Years and Over, Place of Work",Chester Hill - Sefton,0
"Persons Aged 15 Years and Over, Place of Work",Fairfield - East,0
"Persons Aged 15 Years and Over, Place of Work",Granville - Clyde,0
"Persons Aged 15 Years and Over, Place of Work",Greystanes - Pemulwuy,0
"Persons Aged 15 Years and Over, Place of Work",Guildford - South Granville,0
"Persons Aged 15 Years and Over, Place of Work",Guildford West - Merrylands West,0
"Persons Aged 15 Years and Over, Place of Work",Merrylands - Holroyd,0
"Persons Aged 15 Years and Over, Place of Work",Smithfield Industrial,0
"Persons Aged 15 Years and Over, Place of Work",Yennora Industrial,0
"Persons Aged 15 Years and Over, Place of Work",North Parramatta,0
"Persons Aged 15 Years and Over, Place of Work",North Rocks,0
"Persons Aged 15 Years and Over, Place of Work",Northmead,0
"Persons Aged 15 Years and Over, Place of Work",Parramatta - Rosehill,0
"Persons Aged 15 Years and Over, Place of Work",Toongabbie - Constitution Hill,0
"Persons Aged 15 Years and Over, Place of Work",Winston Hills,0
"Persons Aged 15 Years and Over, Place of Work",Pendle Hill - Girraween,0
"Persons Aged 15 Years and Over, Place of Work",Wentworthville - Westmead,0
"Persons Aged 15 Years and Over, Place of Work",Epping - North Epping,0
"Persons Aged 15 Years and Over, Place of Work",Pennant Hills - Cheltenham,0
"Persons Aged 15 Years and Over, Place of Work",Eastwood - Denistone,0
"Persons Aged 15 Years and Over, Place of Work",Gladesville - Huntleys Point,0
"Persons Aged 15 Years and Over, Place of Work",Hunters Hill - Woolwich,0
"Persons Aged 15 Years and Over, Place of Work",Macquarie Park - Marsfield,0
"Persons Aged 15 Years and Over, Place of Work",North Ryde - East Ryde,0
"Persons Aged 15 Years and Over, Place of Work",West Ryde - Meadowbank,0
"Persons Aged 15 Years and Over, Place of Work",Putney,0
"Persons Aged 15 Years and Over, Place of Work",Ryde,0
"Persons Aged 15 Years and Over, Place of Work",Ashcroft - Busby - Miller,0
"Persons Aged 15 Years and Over, Place of Work",Austral - Greendale,0
"Persons Aged 15 Years and Over, Place of Work",Cobbitty - Leppington,0
"Persons Aged 15 Years and Over, Place of Work",Badgerys Creek,0
"Persons Aged 15 Years and Over, Place of Work",Cecil Hills,0
"Persons Aged 15 Years and Over, Place of Work",Green Valley,0
"Persons Aged 15 Years and Over, Place of Work",Hinchinbrook,0
"Persons Aged 15 Years and Over, Place of Work",Hoxton Park - Carnes Hill - Horningsea Park,0
"Persons Aged 15 Years and Over, Place of Work",West Hoxton - Middleton Grange,0
"Persons Aged 15 Years and Over, Place of Work",Bonnyrigg Heights - Bonnyrigg,0
"Persons Aged 15 Years and Over, Place of Work",Bossley Park - Abbotsbury,0
"Persons Aged 15 Years and Over, Place of Work",Cabramatta - Lansvale,0
"Persons Aged 15 Years and Over, Place of Work",Cabramatta West - Mount Pritchard,0
"Persons Aged 15 Years and Over, Place of Work",Canley Vale - Canley Heights,0
"Persons Aged 15 Years and Over, Place of Work",Edensor Park,0
"Persons Aged 15 Years and Over, Place of Work",Fairfield,0
"Persons Aged 15 Years and Over, Place of Work",Fairfield - West,0
"Persons Aged 15 Years and Over, Place of Work",Greenfield Park - Prairiewood,0
"Persons Aged 15 Years and Over, Place of Work",Horsley Park - Kemps Creek,0
"Persons Aged 15 Years and Over, Place of Work",Smithfield - Wetherill Park,0
"Persons Aged 15 Years and Over, Place of Work",St Johns Park - Wakeley,0
"Persons Aged 15 Years and Over, Place of Work",Wetherill Park Industrial,0
"Persons Aged 15 Years and Over, Place of Work",Casula,0
"Persons Aged 15 Years and Over, Place of Work",Chipping Norton - Moorebank,0
"Persons Aged 15 Years and Over, Place of Work",Holsworthy - Wattle Grove,0
"Persons Aged 15 Years and Over, Place of Work",Liverpool,0
"Persons Aged 15 Years and Over, Place of Work",Lurnea - Cartwright,0
"Persons Aged 15 Years and Over, Place of Work",Prestons - Edmondson Park,0
"Persons Aged 15 Years and Over, Place of Work",Warwick Farm,0
"Persons Aged 15 Years and Over, Place of Work",Gymea - Grays Point,0
"Persons Aged 15 Years and Over, Place of Work",Miranda - Yowie Bay,0
"Persons Aged 15 Years and Over, Place of Work",Sylvania - Taren Point,0
"Persons Aged 15 Years and Over, Place of Work",Caringbah,0
"Persons Aged 15 Years and Over, Place of Work",Caringbah South,0
"Persons Aged 15 Years and Over, Place of Work",Cronulla - Kurnell - Bundeena,0
"Persons Aged 15 Years and Over, Place of Work",Lilli Pilli - Port Hacking - Dolans Bay,0
"Persons Aged 15 Years and Over, Place of Work",Woolaware - Burraneer,0
"Persons Aged 15 Years and Over, Place of Work",Heathcote - Waterfall,0
"Persons Aged 15 Years and Over, Place of Work",Illawong - Alfords Point,0
"Persons Aged 15 Years and Over, Place of Work",Menai - Lucas Heights - Woronora,0
"Persons Aged 15 Years and Over, Place of Work",Oyster Bay - Como - Jannali,0
"Persons Aged 15 Years and Over, Place of Work",Royal National Park,0
"Persons Aged 15 Years and Over, Place of Work",Sutherland - Kirrawee,0
"Persons Aged 15 Years and Over, Place of Work",Engadine,0
"Persons Aged 15 Years and Over, Place of Work",Loftus - Yarrawarrah,0
"Persons Aged 15 Years and Over, Place of Work",Woronora Heights,0
"Persons Aged 15 Years and Over, Place of Work",Migratory - Offshore - Shipping (NSW),0
"Persons Aged 15 Years and Over, Place of Work",POW No Fixed Address (NSW),0
"Persons Aged 15 Years and Over, Place of Work",Alfredton,0
"Persons Aged 15 Years and Over, Place of Work",Ballarat,0
"Persons Aged 15 Years and Over, Place of Work",Ballarat - North,0
"Persons Aged 15 Years and Over, Place of Work",Ballarat - South,0
"Persons Aged 15 Years and Over, Place of Work",Buninyong,0
"Persons Aged 15 Years and Over, Place of Work",Delacombe,0
"Persons Aged 15 Years and Over, Place of Work",Smythes Creek,0
"Persons Aged 15 Years and Over, Place of Work",Wendouree - Miners Rest,0
"Persons Aged 15 Years and Over, Place of Work",Bacchus Marsh Region,0
"Persons Aged 15 Years and Over, Place of Work",Creswick - Clunes,0
"Persons Aged 15 Years and Over, Place of Work",Daylesford,0
"Persons Aged 15 Years and Over, Place of Work",Gordon (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Avoca,0
"Persons Aged 15 Years and Over, Place of Work",Beaufort,0
"Persons Aged 15 Years and Over, Place of Work",Golden Plains - North,0
"Persons Aged 15 Years and Over, Place of Work",Maryborough (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Maryborough Region,0
"Persons Aged 15 Years and Over, Place of Work",Bendigo,0
"Persons Aged 15 Years and Over, Place of Work",California Gully - Eaglehawk,0
"Persons Aged 15 Years and Over, Place of Work",East Bendigo - Kennington,0
"Persons Aged 15 Years and Over, Place of Work",Flora Hill - Spring Gully,0
"Persons Aged 15 Years and Over, Place of Work",Kangaroo Flat - Golden Square,0
"Persons Aged 15 Years and Over, Place of Work",Maiden Gully,0
"Persons Aged 15 Years and Over, Place of Work",Strathfieldsaye,0
"Persons Aged 15 Years and Over, Place of Work",White Hills - Ascot,0
"Persons Aged 15 Years and Over, Place of Work",Bendigo Region - South,0
"Persons Aged 15 Years and Over, Place of Work",Castlemaine,0
"Persons Aged 15 Years and Over, Place of Work",Castlemaine Region,0
"Persons Aged 15 Years and Over, Place of Work",Heathcote,0
"Persons Aged 15 Years and Over, Place of Work",Kyneton,0
"Persons Aged 15 Years and Over, Place of Work",Woodend,0
"Persons Aged 15 Years and Over, Place of Work",Bendigo Region - North,0
"Persons Aged 15 Years and Over, Place of Work",Loddon,0
"Persons Aged 15 Years and Over, Place of Work",Bannockburn,0
"Persons Aged 15 Years and Over, Place of Work",Golden Plains - South,0
"Persons Aged 15 Years and Over, Place of Work",Winchelsea,0
"Persons Aged 15 Years and Over, Place of Work",Belmont,0
"Persons Aged 15 Years and Over, Place of Work",Corio - Norlane,0
"Persons Aged 15 Years and Over, Place of Work",Geelong,0
"Persons Aged 15 Years and Over, Place of Work",Geelong West - Hamlyn Heights,0
"Persons Aged 15 Years and Over, Place of Work",Grovedale,0
"Persons Aged 15 Years and Over, Place of Work",Highton,0
"Persons Aged 15 Years and Over, Place of Work",Lara,0
"Persons Aged 15 Years and Over, Place of Work",Leopold,0
"Persons Aged 15 Years and Over, Place of Work",Newcomb - Moolap,0
"Persons Aged 15 Years and Over, Place of Work",Newtown (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",North Geelong - Bell Park,0
"Persons Aged 15 Years and Over, Place of Work",Clifton Springs,0
"Persons Aged 15 Years and Over, Place of Work",Lorne - Anglesea,0
"Persons Aged 15 Years and Over, Place of Work",Ocean Grove - Barwon Heads,0
"Persons Aged 15 Years and Over, Place of Work",Portarlington,0
"Persons Aged 15 Years and Over, Place of Work",Point Lonsdale - Queenscliff,0
"Persons Aged 15 Years and Over, Place of Work",Torquay,0
"Persons Aged 15 Years and Over, Place of Work",Alexandra,0
"Persons Aged 15 Years and Over, Place of Work",Euroa,0
"Persons Aged 15 Years and Over, Place of Work",Kilmore - Broadford,0
"Persons Aged 15 Years and Over, Place of Work",Mansfield (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Nagambie,0
"Persons Aged 15 Years and Over, Place of Work",Seymour,0
"Persons Aged 15 Years and Over, Place of Work",Seymour Region,0
"Persons Aged 15 Years and Over, Place of Work",Upper Yarra Valley,0
"Persons Aged 15 Years and Over, Place of Work",Yea,0
"Persons Aged 15 Years and Over, Place of Work",Benalla,0
"Persons Aged 15 Years and Over, Place of Work",Benalla Region,0
"Persons Aged 15 Years and Over, Place of Work",Rutherglen,0
"Persons Aged 15 Years and Over, Place of Work",Wangaratta,0
"Persons Aged 15 Years and Over, Place of Work",Wangaratta Region,0
"Persons Aged 15 Years and Over, Place of Work",Beechworth,0
"Persons Aged 15 Years and Over, Place of Work",Bright - Mount Beauty,0
"Persons Aged 15 Years and Over, Place of Work",Chiltern - Indigo Valley,0
"Persons Aged 15 Years and Over, Place of Work",Myrtleford,0
"Persons Aged 15 Years and Over, Place of Work",Towong,0
"Persons Aged 15 Years and Over, Place of Work",West Wodonga,0
"Persons Aged 15 Years and Over, Place of Work",Wodonga,0
"Persons Aged 15 Years and Over, Place of Work",Yackandandah,0
"Persons Aged 15 Years and Over, Place of Work",Drouin,0
"Persons Aged 15 Years and Over, Place of Work",Mount Baw Baw Region,0
"Persons Aged 15 Years and Over, Place of Work",Trafalgar (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Warragul,0
"Persons Aged 15 Years and Over, Place of Work",Alps - East,0
"Persons Aged 15 Years and Over, Place of Work",Bairnsdale,0
"Persons Aged 15 Years and Over, Place of Work",Bruthen - Omeo,0
"Persons Aged 15 Years and Over, Place of Work",Lake King,0
"Persons Aged 15 Years and Over, Place of Work",Lakes Entrance,0
"Persons Aged 15 Years and Over, Place of Work",Orbost,0
"Persons Aged 15 Years and Over, Place of Work",Paynesville,0
"Persons Aged 15 Years and Over, Place of Work",Foster,0
"Persons Aged 15 Years and Over, Place of Work",French Island,0
"Persons Aged 15 Years and Over, Place of Work",Korumburra,0
"Persons Aged 15 Years and Over, Place of Work",Leongatha,0
"Persons Aged 15 Years and Over, Place of Work",Phillip Island,0
"Persons Aged 15 Years and Over, Place of Work",Wilsons Promontory,0
"Persons Aged 15 Years and Over, Place of Work",Wonthaggi - Inverloch,0
"Persons Aged 15 Years and Over, Place of Work",Churchill,0
"Persons Aged 15 Years and Over, Place of Work",Moe - Newborough,0
"Persons Aged 15 Years and Over, Place of Work",Morwell,0
"Persons Aged 15 Years and Over, Place of Work",Traralgon,0
"Persons Aged 15 Years and Over, Place of Work",Yallourn North - Glengarry,0
"Persons Aged 15 Years and Over, Place of Work",Alps - West,0
"Persons Aged 15 Years and Over, Place of Work",Longford - Loch Sport,0
"Persons Aged 15 Years and Over, Place of Work",Maffra,0
"Persons Aged 15 Years and Over, Place of Work",Rosedale,0
"Persons Aged 15 Years and Over, Place of Work",Sale,0
"Persons Aged 15 Years and Over, Place of Work",Yarram,0
"Persons Aged 15 Years and Over, Place of Work",Brunswick,0
"Persons Aged 15 Years and Over, Place of Work",Brunswick East,0
"Persons Aged 15 Years and Over, Place of Work",Brunswick West,0
"Persons Aged 15 Years and Over, Place of Work",Coburg,0
"Persons Aged 15 Years and Over, Place of Work",Pascoe Vale South,0
"Persons Aged 15 Years and Over, Place of Work",Alphington - Fairfield,0
"Persons Aged 15 Years and Over, Place of Work",Northcote,0
"Persons Aged 15 Years and Over, Place of Work",Thornbury,0
"Persons Aged 15 Years and Over, Place of Work",Ascot Vale,0
"Persons Aged 15 Years and Over, Place of Work",Essendon - Aberfeldie,0
"Persons Aged 15 Years and Over, Place of Work",Flemington,0
"Persons Aged 15 Years and Over, Place of Work",Moonee Ponds,0
"Persons Aged 15 Years and Over, Place of Work",Carlton,0
"Persons Aged 15 Years and Over, Place of Work",Docklands,0
"Persons Aged 15 Years and Over, Place of Work",East Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",Flemington Racecourse,0
"Persons Aged 15 Years and Over, Place of Work",Kensington (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",North Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",Parkville,0
"Persons Aged 15 Years and Over, Place of Work",South Yarra - West,0
"Persons Aged 15 Years and Over, Place of Work",Southbank,0
"Persons Aged 15 Years and Over, Place of Work",West Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",Albert Park,0
"Persons Aged 15 Years and Over, Place of Work",Elwood,0
"Persons Aged 15 Years and Over, Place of Work",Port Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",Port Melbourne Industrial,0
"Persons Aged 15 Years and Over, Place of Work",South Melbourne,0
"Persons Aged 15 Years and Over, Place of Work",St Kilda,0
"Persons Aged 15 Years and Over, Place of Work",St Kilda East,0
"Persons Aged 15 Years and Over, Place of Work",Armadale,0
"Persons Aged 15 Years and Over, Place of Work",Prahran - Windsor,0
"Persons Aged 15 Years and Over, Place of Work",South Yarra - East,0
"Persons Aged 15 Years and Over, Place of Work",Toorak,0
"Persons Aged 15 Years and Over, Place of Work",Abbotsford,0
"Persons Aged 15 Years and Over, Place of Work",Carlton North - Princes Hill,0
"Persons Aged 15 Years and Over, Place of Work",Collingwood,0
"Persons Aged 15 Years and Over, Place of Work",Fitzroy,0
"Persons Aged 15 Years and Over, Place of Work",Fitzroy North,0
"Persons Aged 15 Years and Over, Place of Work",Richmond (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Yarra - North,0
"Persons Aged 15 Years and Over, Place of Work",Ashburton (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Balwyn,0
"Persons Aged 15 Years and Over, Place of Work",Balwyn North,0
"Persons Aged 15 Years and Over, Place of Work",Camberwell,0
"Persons Aged 15 Years and Over, Place of Work",Glen Iris - East,0
"Persons Aged 15 Years and Over, Place of Work",Hawthorn,0
"Persons Aged 15 Years and Over, Place of Work",Hawthorn East,0
"Persons Aged 15 Years and Over, Place of Work",Kew,0
"Persons Aged 15 Years and Over, Place of Work",Kew East,0
"Persons Aged 15 Years and Over, Place of Work",Surrey Hills (West) - Canterbury,0
"Persons Aged 15 Years and Over, Place of Work",Bulleen,0
"Persons Aged 15 Years and Over, Place of Work",Doncaster,0
"Persons Aged 15 Years and Over, Place of Work",Templestowe,0
"Persons Aged 15 Years and Over, Place of Work",Templestowe Lower,0
"Persons Aged 15 Years and Over, Place of Work",Doncaster East (North),0
"Persons Aged 15 Years and Over, Place of Work",Doncaster East (South),0
"Persons Aged 15 Years and Over, Place of Work",Blackburn,0
"Persons Aged 15 Years and Over, Place of Work",Blackburn South,0
"Persons Aged 15 Years and Over, Place of Work",Box Hill,0
"Persons Aged 15 Years and Over, Place of Work",Box Hill North,0
"Persons Aged 15 Years and Over, Place of Work",Burwood,0
"Persons Aged 15 Years and Over, Place of Work",Burwood East,0
"Persons Aged 15 Years and Over, Place of Work",Surrey Hills (East) - Mont Albert,0
"Persons Aged 15 Years and Over, Place of Work",Beaumaris,0
"Persons Aged 15 Years and Over, Place of Work",Brighton (Vic.),0
"Persons Aged 15 Years and Over, Place of Work",Brighton East,0
"Persons Aged 15 Years and Over, Place of Work",Cheltenham - Highett (West),0
"Persons Aged 15 Years and Over, Place of Work",Hampton,0
"Persons Aged 15 Years and Over, Place of Work",Sandringham - Black Rock,0
"Persons Aged 15 Years and Over, Place of Work",Bentleigh - McKinnon,0
"Persons Aged 15 Years and Over, Place of Work",Carnegie,0
"Persons Aged 15 Years and Over, Place of Work",Caulfield - North,0
"Persons Aged 15 Years and Over, Place of Work",Caulfield - South,0
"Persons Aged 15 Years and Over, Place of Work",Elsternwick,0
"Persons Aged 15 Years and Over, Place of Work",Hughesdale,0
"Persons Aged 15 Years and Over, Place of Work",Murrumbeena,0
"Persons Aged 15 Years and Over, Place of Work",Ormond - Glen Huntly,0
"Persons Aged 15 Years and Over, Place of Work",Bentleigh East (North),0
"Persons Aged 15 Years and Over, Place of Work",Bentleigh East (South),0
"Persons Aged 15 Years and Over, Place of Work",Aspendale Gardens - Waterways,0
"Persons Aged 15 Years and Over, Place of Work",Braeside,0
"Persons Aged 15 Years and Over, Place of Work",Carrum - Patterson Lakes,0
"Persons Aged 15 Years and Over, Place of Work",Chelsea - Bonbeach,0
"Persons Aged 15 Years and Over, Place of Work",Chelsea Heights,0
"Persons Aged 15 Years and Over, Place of Work",Cheltenham - Highett (East),0
"Persons Aged 15 Years and Over, Place of Work",Edithvale - Aspendale,0
"Persons Aged 15 Years and Over, Place of Work",Mentone,0
"Persons Aged 15 Years and Over, Place of Work",Moorabbin - Heatherton,0
"Persons Aged 15 Years and Over, Place of Work",Moorabbin Airport,0
"Persons Aged 15 Years and Over, Place of Work",Mordialloc - Parkdale,0
"Persons Aged 15 Years and Over, Place of Work",Malvern - Glen Iris,0
"Persons Aged 15 Years and Over, Place of Work",Malvern East,0
"Persons Aged 15 Years and Over, Place of Work",Bundoora - East,0
"Persons Aged 15 Years and Over, Place of Work",Greensborough,0
"Persons Aged 15 Years and Over, Place of Work",Heidelberg - Rosanna,0
"Persons Aged 15 Years and Over, Place of Work",Heidelberg West,0
"Persons Aged 15 Years and Over, Place of Work",Ivanhoe,0
"Persons Aged 15 Years and Over, Place of Work",Ivanhoe East - Eaglemont,0
"Persons Aged 15 Years and Over, Place of Work",Montmorency - Briar Hill,0
"Persons Aged 15 Years and Over, Place of Work",Viewbank - Yallambie,0
"Persons Aged 15 Years and Over, Place of Work",Watsonia,0
"Persons Aged 15 Years and Over, Place of Work",Kingsbury,0
"Persons Aged 15 Years and Over, Place of Work",Reservoir - East,0
"Persons Aged 15 Years and Over, Place of Work",Reservoir - West,0
"Persons Aged 15 Years and Over, Place of Work",Preston - East,0
"Persons Aged 15 Years and Over, Place of Work",Preston - West,0
"Persons Aged 15 Years and Over, Place of Work",Eltham,0
"Persons Aged 15 Years and Over, Place of Work",Hurstbridge,0
"Persons Aged 15 Years and Over, Place of Work",Kinglake,0
"Persons Aged 15 Years and Over, Place of Work",Panton Hill - St Andrews,0
"Persons Aged 15 Years and Over, Place of Work",Plenty - Yarrambat,0
"Persons Aged 15 Years and Over, Place of Work",Research - North Warrandyte,0
"Persons Aged 15 Years and Over, Place of Work",Wattle Glen - Diamond Creek,0
"Persons Aged 15 Years and Over, Place of Work",Bundoora - North,0
"Persons Aged 15 Years and Over, Place of Work",Bundoora - West,0
"Persons Aged 15 Years and Over, Place of Work",Lalor,0
"Persons Aged 15 Years and Over, Place of Work",Mill Park - North,0
"Persons Aged 15 Years and Over, Place of Work",Mill Park - South,0
"Persons Aged 15 Years and Over, Place of Work",Thomastown,0
"Persons Aged 15 Years and Over, Place of Work",Wallan,0
"Persons Aged 15 Years and Over, Place of Work",Whittlesea,0
"Persons Aged 15 Years and Over, Place of Work",Doreen,0
"Persons Aged 15 Years and Over, Place of Work",Epping - East,0
"Persons Aged 15 Years and Over, Place of Work",Epping - South,0
"Persons Aged 15 Years and Over, Place of Work",Epping - West,0
"Persons Aged 15 Years and Over, Place of Work",Mernda,0
"Persons Aged 15 Years and Over, Place of Work",South Morang (North),0
"Persons Aged 15 Years and Over, Place of Work",South Morang (South),0
"Persons Aged 15 Years and Over, Place of Work",Wollert,0
"Persons Aged 15 Years and Over, Place of Work",Airport West,0
"Persons Aged 15 Years and Over, Place of Work",Essendon Airport,0
"Persons Aged 15 Years and Over, Place of Work",Keilor,0
"Persons Aged 15 Years and Over, Place of Work",Keilor East,0
"Persons Aged 15 Years and Over, Place of Work",Niddrie - Essendon West,0
"Persons Aged 15 Years and Over, Place of Work",Strathmore,0
"Persons Aged 15 Years and Over, Place of Work",Gisborne,0
"Persons Aged 15 Years and Over, Place of Work",Macedon,0
"Persons Aged 15 Years and Over, Place of Work",Riddells Creek,0
"Persons Aged 15 Years and Over, Place of Work",Romsey,0
"Persons Aged 15 Years and Over, Place of Work",Coburg North,0
"Persons Aged 15 Years and Over, Place of Work",Fawkner,0
"Persons Aged 15 Years and Over, Place of Work",Pascoe Vale,0
"Persons Aged 15 Years and Over, Place of Work",Glenroy,0
